Orthogroup	DMIR.longest_only	DKIK.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC108086044|XP_017038352.1|DKIK
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC108070634|XP_017016690.1|DKIK
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC117188692|XP_033248809.1|DMIR	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
