Orthogroup	DMIR.longest_only	DALB.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC108153842|XP_033245237.1|DMIR, LOC108156429|XP_017143371.1|DMIR, LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR, LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR, LOC108154033|XP_017139614.1|DMIR, LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR, LOC108153951|XP_017139538.1|DMIR, LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR, LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC108154051|XP_017139631.2|DMIR, LOC108154052|XP_017139633.1|DMIR, LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR, LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR, LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR, LOC108153868|XP_017139455.1|DMIR, LOC108154010|XP_033246058.1|DMIR	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR, LOC117188214|XP_033247602.1|DMIR, LOC117191840|XP_033252499.1|DMIR, LOC117190823|XP_033251752.1|DMIR, LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR, LOC117192640|XP_033253257.1|DMIR, LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC117188692|XP_033248809.1|DMIR, LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR, LOC108152350|XP_017137109.1|DMIR	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
