Orthogroup	DMIR.longest_only	DEUG.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC108104212|XP_017065644.1|DEUG
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC108115960|XP_017083085.1|DEUG
OG0000001	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC117188692|XP_033248809.1|DMIR	LOC108114765|XP_017081366.1|DEUG
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC108113287|XP_017079326.1|DEUG
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG, LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR	LOC108113823|XP_017080058.1|DEUG
OG0000006	LOC108156794|XP_017143962.2|DMIR, LOC117187298|XP_033245559.1|DMIR, LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR, LOC117187300|XP_033245561.1|DMIR	LOC108103399|XP_017064345.1|DEUG
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC108154515|XP_017140305.2|DMIR	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
