Orthogroup	DMIR.longest_only	DYAK.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC117187734|XP_033246410.1|DMIR	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC6538114|XP_002098649.1|DYAK
OG0000001	LOC117191691|XP_033252383.1|DMIR, LOC117191935|XP_033252574.1|DMIR, LOC117186833|XP_033244022.1|DMIR, LOC117193719|XP_033254335.1|DMIR, LOC117190985|XP_033251856.1|DMIR, LOC117188067|XP_033247232.1|DMIR, LOC117186429|XP_033243124.1|DMIR, LOC117186350|XP_033242949.1|DMIR, LOC117190965|XP_033251845.1|DMIR, LOC117193360|XP_033253966.1|DMIR, LOC117190662|XP_033251608.1|DMIR, LOC117193513|XP_033254148.1|DMIR, LOC117193461|XP_033254111.1|DMIR, LOC117188882|XP_033249301.1|DMIR, LOC117190672|XP_033251629.1|DMIR	LOC120320619|XP_039226769.1|DYAK
OG0000001	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR	LOC120320646|XP_039226853.1|DYAK
OG0000001	LOC117188214|XP_033247602.1|DMIR, LOC117191840|XP_033252499.1|DMIR, LOC117190823|XP_033251752.1|DMIR, LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR	LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC6530459|XP_002091375.1|DYAK, LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC6528128|XP_002089195.3|DYAK
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC117187206|XP_033245270.1|DMIR	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC108152483|XP_017137346.1|DMIR	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC6536143|XP_002096744.1|DYAK
