Orthogroup	DMIR.longest_only	AALB.longest_only
OG0000001	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR	LOC118468339|XP_035794991.1|AALB
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC117187299|XP_033245560.1|DMIR, LOC117187301|XP_033245562.1|DMIR	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108157813|XP_017145500.1|DMIR, LOC108154360|XP_017140115.1|DMIR, LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR, LOC108157842|XP_017145534.1|DMIR, LOC108157418|XP_017144958.2|DMIR, LOC108157419|XP_017144960.2|DMIR, LOC108154524|XP_017140312.1|DMIR, LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR, LOC108154377|XP_017140130.1|DMIR, LOC108160943|XP_017150721.1|DMIR, LOC108158336|XP_017146065.1|DMIR	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108156705|XP_033245573.1|DMIR	LOC118464061|XP_035787001.1|AALB
OG0000010	LOC117187315|XP_033245579.1|DMIR, LOC108156795|XP_017143963.1|DMIR	LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
OG0000010	LOC117187312|XP_033245576.1|DMIR	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB
OG0000010	LOC117187316|XP_033245580.1|DMIR	LOC118465137|XP_035788967.1|AALB
OG0000011	LOC117185903|XP_033249904.1|DMIR	LOC118459877|XP_035779560.1|AALB
OG0000012	LOC108159199|XP_017147755.1|DMIR, LOC117185759|XP_033246859.1|DMIR, LOC108159198|XP_017147751.2|DMIR, LOC117190016|XP_033250998.1|DMIR, LOC108159196|XP_017147750.1|DMIR, LOC108160856|XP_017150607.1|DMIR, LOC117190381|XP_033251353.1|DMIR, LOC108161008|XP_017150804.1|DMIR, LOC117185969|XP_033248320.1|DMIR, LOC108157993|XP_033248087.1|DMIR, LOC108160910|XP_017150675.1|DMIR, LOC108158925|XP_017147218.1|DMIR, LOC108158929|XP_017147224.1|DMIR, LOC108158928|XP_017147221.1|DMIR, LOC108158930|XP_017147225.1|DMIR, LOC117191852|XP_033252511.1|DMIR, LOC108158927|XP_017147219.1|DMIR	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108158589|XP_017146529.2|DMIR, LOC117187892|XP_033246717.1|DMIR	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108152903|XP_017138042.1|DMIR	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108157123|XP_017144495.1|DMIR, LOC108156384|XP_017143289.1|DMIR	LOC118461072|XP_035781858.1|AALB
