Orthogroup	DMIR.longest_only	DHYD.longest_only
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR	LOC111593957|XP_023162816.2|DHYD
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC111602383|XP_023175172.2|DHYD
