Orthogroup	DMIR.longest_only	DMEL.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	CG33700|NP_001027121.3|DMEL
OG0000000	LOC117187734|XP_033246410.1|DMIR	CG33752|NP_001027409.1|DMEL
OG0000000	LOC108158045|XP_017145679.2|DMIR	CG33679|NP_001027273.1|DMEL
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL
OG0000000	LOC117185812|XP_033243800.1|DMIR	CG33687|NP_001027130.2|DMEL
OG0000000	LOC108165373|XP_017156898.2|DMIR	CG33690|NP_001368948.1|DMEL
OG0000000	LOC108151290|XP_017135310.1|DMIR	CG33688|NP_001027131.1|DMEL, CG33689|NP_001027132.2|DMEL
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	CG12849|NP_611969.2|DMEL
OG0000000	LOC108153842|XP_033245237.1|DMIR	CG33654|NP_001027165.1|DMEL, CG33920|NP_001027214.1|DMEL
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	CG33773|NP_001027213.1|DMEL
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	CG33648|NP_001027265.2|DMEL
OG0000000	LOC108153951|XP_017139538.1|DMIR	CG33721|NP_001036743.1|DMEL
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	CG33928|NP_001027276.1|DMEL
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108154608|XP_017140414.2|DMIR	CG14518|NP_651653.2|DMEL
OG0000002	LOC108159521|XP_017148375.1|DMIR	CG30281|NP_726164.1|DMEL
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	CG30280|NP_611641.6|DMEL
OG0000002	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR	CG31832|NP_723894.2|DMEL
OG0000002	LOC108152350|XP_017137109.1|DMIR	CG7668|NP_649170.1|DMEL
