Orthogroup	DMIR.longest_only	DSUP.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC119551980|XP_037717623.1|DSUP
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC108165373|XP_017156898.2|DMIR	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC119562944|XP_037732029.1|DSUP
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR	LOC119553046|XP_037719085.1|DSUP
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC119548570|XP_037711816.1|DSUP
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC119563146|XP_037732330.1|DSUP
OG0000001	LOC117192640|XP_033253257.1|DMIR, LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR	LOC119561797|XP_037731208.1|DSUP, LOC119559462|XP_037728496.1|DSUP, LOC119559031|XP_037728088.1|DSUP, LOC119562332|XP_037731421.1|DSUP, LOC119561847|XP_037731255.1|DSUP, LOC119562465|XP_037731580.1|DSUP
OG0000001	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR	LOC119561984|XP_037731306.1|DSUP
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC108152350|XP_017137109.1|DMIR	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC119546867|XP_037709399.1|DSUP
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC119549193|XP_037712950.1|DSUP, LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC119553060|XP_037719113.1|DSUP, LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC119549751|XP_037713922.1|DSUP, LOC119549192|XP_037712949.1|DSUP, LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC119549194|XP_037712951.1|DSUP, LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC119551761|XP_037717216.1|DSUP
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC119551759|XP_037717214.1|DSUP, LOC119551760|XP_037717215.1|DSUP
OG0000003	LOC108163634|XP_017154532.1|DMIR	LOC119546510|XP_037708761.1|DSUP
OG0000004	LOC117187175|XP_033245162.1|DMIR, LOC117186051|XP_033242021.1|DMIR	LOC119559238|XP_037728236.1|DSUP, LOC119561506|XP_037731085.1|DSUP
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC117187297|XP_033245558.1|DMIR	LOC119547989|XP_037710973.1|DSUP
OG0000006	LOC117187206|XP_033245270.1|DMIR	LOC119546622|XP_037708987.1|DSUP
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC108153040|XP_017138288.1|DMIR	LOC119555653|XP_037723160.1|DSUP
OG0000007	LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC108152481|XP_017137344.1|DMIR	LOC119554489|XP_037721348.1|DSUP
OG0000007	LOC108152482|XP_017137345.1|DMIR	LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC108163948|XP_017154978.1|DMIR	LOC119546692|XP_037709098.1|DSUP
OG0000007	LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC108164248|XP_017155372.1|DMIR	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC108165521|XP_017157067.1|DMIR	LOC119553445|XP_037719763.1|DSUP
OG0000007	LOC108164169|XP_017155268.2|DMIR	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000007	LOC108152484|XP_017137347.1|DMIR	LOC119554496|XP_037721356.1|DSUP
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC119554296|XP_037721084.1|DSUP
OG0000008	LOC108154402|XP_017140161.1|DMIR	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC108153895|XP_033244232.1|DMIR	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC108153896|XP_017139483.1|DMIR	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC108154491|XP_017140280.1|DMIR	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC108157813|XP_017145500.1|DMIR	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC108154360|XP_017140115.1|DMIR	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC108157783|XP_017145461.1|DMIR, LOC108157739|XP_017145406.1|DMIR	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC108158206|XP_017145918.1|DMIR, LOC117192818|XP_033253474.1|DMIR	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC108154377|XP_017140130.1|DMIR	LOC119560195|XP_037729489.1|DSUP
