Orthogroup	DMIR.longest_only	AAEG.longest_only
OG0000002	LOC108161232|XP_017150945.1|DMIR	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000005	LOC117188269|XP_033247714.1|DMIR, LOC117186052|XP_033242023.1|DMIR, LOC108164485|XP_017155735.2|DMIR	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG
OG0000006	LOC117187301|XP_033245562.1|DMIR	LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC117187206|XP_033245270.1|DMIR	LOC110679784|XP_021711208.1|AAEG
OG0000006	LOC108156704|XP_017143842.2|DMIR	LOC110679780|XP_021711203.1|AAEG, LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG, LOC110679774|XP_021711197.1|AAEG
OG0000007	LOC108153040|XP_017138288.1|DMIR, LOC108153675|XP_017139280.1|DMIR, LOC108165331|XP_017156854.2|DMIR, LOC108152481|XP_017137344.1|DMIR, LOC108152482|XP_017137345.1|DMIR, LOC108163948|XP_017154978.1|DMIR, LOC117188471|XP_033248275.1|DMIR, LOC108158175|XP_017145882.2|DMIR, LOC117187389|XP_033245847.1|DMIR, LOC117187383|XP_033245816.1|DMIR, LOC108157498|XP_033245840.1|DMIR, LOC108157499|XP_017145088.2|DMIR, LOC108164248|XP_017155372.1|DMIR, LOC108165521|XP_017157067.1|DMIR, LOC108164169|XP_017155268.2|DMIR, LOC108152483|XP_017137346.1|DMIR, LOC108152484|XP_017137347.1|DMIR	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC108154982|XP_017141010.1|DMIR	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC108151537|XP_017135681.1|DMIR	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC108151536|XP_017135679.1|DMIR	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC108161577|XP_017151355.1|DMIR	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC108151539|XP_017135683.2|DMIR	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
