Orthogroup	DMIR.longest_only	DPER.longest_only
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR	LOC6592191|XP_002017761.2|DPER
OG0000000	LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR	LOC6603460|XP_002028440.1|DPER
OG0000000	LOC108158411|XP_017146169.2|DMIR	LOC6603459|XP_026842774.1|DPER
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC6603458|XP_002028438.2|DPER
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER
OG0000000	LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC108156429|XP_017143371.1|DMIR	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC108154067|XP_033246013.1|DMIR	LOC113567467|XP_026851261.1|DPER
OG0000000	LOC108154066|XP_033246011.1|DMIR	LOC6594748|XP_026851256.1|DPER
OG0000000	LOC108158063|XP_017145701.1|DMIR	LOC6593032|XP_002017709.2|DPER
OG0000000	LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR	LOC6593087|XP_026841436.1|DPER
OG0000000	LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR	LOC6593031|XP_026841437.1|DPER
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC108154065|XP_033245991.1|DMIR	LOC6595061|XP_026851238.1|DPER
OG0000000	LOC117187434|XP_033245992.1|DMIR	LOC6595060|XP_002020414.2|DPER
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC6592855|XP_026840797.1|DPER
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC6587480|XP_002013644.2|DPER
OG0000000	LOC108154051|XP_017139631.2|DMIR	LOC113564894|XP_026839940.1|DPER
OG0000000	LOC108154052|XP_017139633.1|DMIR	LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER
OG0000000	LOC108153871|XP_033244797.1|DMIR	LOC6591953|XP_026851182.1|DPER
OG0000000	LOC108153866|XP_017139453.1|DMIR	LOC6592013|XP_002017508.2|DPER
OG0000000	LOC108154580|XP_017140371.1|DMIR, LOC117187432|XP_033245983.1|DMIR	LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER
OG0000000	LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR	LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER
OG0000000	LOC108153868|XP_017139455.1|DMIR	LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER
OG0000000	LOC108154010|XP_033246058.1|DMIR	LOC6598646|XP_026840107.1|DPER
OG0000001	LOC117192640|XP_033253257.1|DMIR	LOC113566438|XP_026847737.1|DPER
