Orthogroup	DMIR.longest_only	DANA.longest_only
OG0000000	LOC108150869|XP_017134661.1|DMIR	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC6500855|XP_032305607.1|DANA
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR	LOC26514098|XP_032306915.1|DANA
