Orthogroup	DYAK.longest_only	BCOP.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK, LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK, LOC6536475|XP_002097056.2|DYAK, LOC6530087|XP_002091033.1|DYAK, LOC6535099|XP_039229818.1|DYAK, LOC6535097|XP_039229817.1|DYAK, LOC6535098|XP_002095761.2|DYAK, LOC6532122|XP_002092898.3|DYAK, LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK, LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK, LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK, LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK, LOC6531513|XP_002092312.3|DYAK, LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK, LOC6526414|XP_002087533.2|DYAK, LOC6532990|XP_039229806.1|DYAK, LOC26535595|XP_015049129.2|DYAK, LOC6538949|XP_002099452.1|DYAK, LOC6537714|XP_002098259.2|DYAK, LOC6529465|XP_002090467.1|DYAK, LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK, LOC6535316|XP_002095972.1|DYAK, LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK, LOC6533890|XP_002094590.1|DYAK	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC6528284|XP_002089337.3|DYAK, LOC26535670|XP_015050876.2|DYAK	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC6526775|XP_002087878.2|DYAK, LOC6527104|XP_002088197.3|DYAK	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC6540440|XP_039228255.1|DYAK	LOC119078393|XP_037041791.1|BCOP
OG0000005	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC119075400|XP_037037739.1|BCOP
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK, LOC6533142|XP_002093868.1|DYAK, LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK, LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC119067198|XP_037025928.1|BCOP
