Orthogroup	DYAK.longest_only	DSUP.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC119549570|XP_037713651.1|DSUP
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK	LOC119555097|XP_037722243.1|DSUP
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC119548144|XP_037711170.1|DSUP
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK	LOC119549506|XP_037713545.1|DSUP
OG0000000	LOC6530976|XP_002091814.2|DYAK	LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC119552808|XP_037718574.1|DSUP
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC119555360|XP_037722626.1|DSUP
OG0000000	LOC6533890|XP_002094590.1|DYAK	LOC119555832|XP_037723387.1|DSUP
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC119549193|XP_037712950.1|DSUP
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC119549691|XP_037713842.1|DSUP
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC119553060|XP_037719113.1|DSUP
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC119549692|XP_037713843.1|DSUP
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC6530458|XP_002091374.1|DYAK	LOC119549192|XP_037712949.1|DSUP
OG0000003	LOC6530457|XP_002091373.1|DYAK	LOC119549585|XP_037713671.1|DSUP
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC119550953|XP_037715907.1|DSUP
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC119549586|XP_037713672.1|DSUP
