Orthogroup	DYAK.longest_only	DFIC.longest_only
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC108100131|XP_017059373.1|DFIC
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC26535595|XP_015049129.2|DYAK, LOC6538949|XP_002099452.1|DYAK	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC6530976|XP_002091814.2|DYAK	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC108089294|XP_017042961.1|DFIC
OG0000001	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK	LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC6530459|XP_002091375.1|DYAK	LOC108099209|XP_017058075.1|DFIC
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC108090319|XP_017044419.1|DFIC
OG0000003	LOC120320435|XP_002089650.1|DYAK	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
OG0000004	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK	LOC108094043|XP_017049969.1|DFIC
OG0000005	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK	LOC108094052|XP_017049981.1|DFIC
OG0000006	LOC120321198|XP_039229117.1|DYAK	LOC108098248|XP_017056531.1|DFIC
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC108099856|XP_017058991.1|DFIC
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC108093252|XP_017048717.1|DFIC
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC108093253|XP_017048718.1|DFIC
OG0000007	LOC6533140|XP_002093866.1|DYAK	LOC108093241|XP_017048705.1|DFIC
OG0000007	LOC6533139|XP_002093865.1|DYAK	LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC
