Orthogroup	DYAK.longest_only	AEAL.longest_only
OG0000001	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000004	LOC6540440|XP_039228255.1|DYAK	LOC115255472|XP_029709456.1|AEAL
OG0000005	LOC6540448|XP_002087255.2|DYAK	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL, LOC109397485|XP_019525324.1|AEAL, LOC115270068|XP_029734900.1|AEAL, LOC115270062|XP_029734894.1|AEAL, LOC115270061|XP_029734893.1|AEAL, LOC109621825|XP_019931550.1|AEAL, LOC109413196|XP_019542446.1|AEAL, LOC109404529|XP_019532971.1|AEAL, LOC109413199|XP_019542449.1|AEAL, LOC115267256|XP_029730017.1|AEAL, LOC109621654|XP_019931304.1|AEAL, LOC115266977|XP_029729560.1|AEAL, LOC109431217|XP_019562975.1|AEAL, LOC115264621|XP_029724359.1|AEAL, LOC109420134|XP_019549992.2|AEAL, LOC109431208|XP_019562967.2|AEAL, LOC109431202|XP_019562960.1|AEAL, LOC115264624|XP_029724364.1|AEAL, LOC109420130|XP_019549988.1|AEAL, LOC115264618|XP_029724355.1|AEAL, LOC109420103|XP_019549953.2|AEAL, LOC115264627|XP_029724367.1|AEAL, LOC115264619|XP_029724357.1|AEAL, LOC115264613|XP_029724347.1|AEAL, LOC109420106|XP_029724322.1|AEAL, LOC115264606|XP_029724330.1|AEAL, LOC115264602|XP_029724325.1|AEAL
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC109621653|XP_019931303.1|AEAL
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK, LOC6533142|XP_002093868.1|DYAK, LOC6533143|XP_002093869.1|DYAK, LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK, LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC109409014|XP_019537968.1|AEAL
