Orthogroup	DYAK.longest_only	DEUG.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC26534826|XP_015049134.2|DYAK	LOC108104209|XP_017065641.1|DEUG
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC108112677|XP_017078310.1|DEUG
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK	LOC108108192|XP_017071633.1|DEUG
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC108113483|XP_017079557.1|DEUG
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC6530976|XP_002091814.2|DYAK	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC108114927|XP_017081602.1|DEUG
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC108114139|XP_017080411.1|DEUG
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC108113890|XP_017080084.1|DEUG
OG0000001	LOC120322239|XP_039233225.1|DYAK, LOC120321759|XP_039231466.1|DYAK, LOC120320570|XP_039226492.1|DYAK, LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK	LOC108111625|XP_017076648.1|DEUG
OG0000001	LOC120320646|XP_039226853.1|DYAK	LOC108118112|XP_017086151.1|DEUG, LOC108103727|XP_017064815.1|DEUG
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC108115764|XP_017082821.1|DEUG
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC6530458|XP_002091374.1|DYAK	LOC108106678|XP_017069398.1|DEUG
OG0000003	LOC6530459|XP_002091375.1|DYAK	LOC108106677|XP_017069397.1|DEUG
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC108104523|XP_017066143.1|DEUG
