Orthogroup	DYAK.longest_only	DELE.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC108143366|XP_017123177.1|DELE
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC6536389|XP_002096971.3|DYAK	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC6533890|XP_002094590.1|DYAK	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC108134735|XP_017110639.1|DELE
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108145092|XP_017125773.1|DELE
