Orthogroup	DYAK.longest_only	DMIR.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC117187734|XP_033246410.1|DMIR
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108154608|XP_017140414.2|DMIR
