Orthogroup	DYAK.longest_only	DMAU.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC117138434|XP_033156436.1|DMAU
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC26534826|XP_015049134.2|DYAK	LOC117142323|XP_033162125.1|DMAU
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK	LOC117140233|XP_033158923.1|DMAU
