Orthogroup	DYAK.longest_only	DBIA.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC108024306|XP_016949697.1|DBIA
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC26534826|XP_015049134.2|DYAK	LOC108025270|XP_016951121.1|DBIA
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC108034432|XP_016964806.1|DBIA
OG0000000	LOC6533890|XP_002094590.1|DYAK	LOC108032244|XP_016961600.1|DBIA
OG0000001	LOC120320619|XP_039226769.1|DYAK	LOC108035859|XP_016967093.1|DBIA
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC108024348|XP_016949739.1|DBIA
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC6530458|XP_002091374.1|DYAK	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC6530457|XP_002091373.1|DYAK	LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC6530459|XP_002091375.1|DYAK	LOC108030395|XP_016958768.1|DBIA
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC120320435|XP_002089650.1|DYAK	LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC108034204|XP_016964524.1|DBIA
OG0000004	LOC6540440|XP_039228255.1|DYAK	LOC108021905|XP_016946216.1|DBIA
OG0000005	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC6533140|XP_002093866.1|DYAK	LOC108028547|XP_016955936.1|DBIA
OG0000007	LOC6533138|XP_002093864.1|DYAK	LOC108028068|XP_016955198.1|DBIA
OG0000007	LOC6527619|XP_002088707.1|DYAK	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC108029358|XP_016957069.1|DBIA
