Orthogroup	DYAK.longest_only	DVIR.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC120320646|XP_039226853.1|DYAK, LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR
OG0000001	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC6627946|XP_002051419.1|DVIR
OG0000005	LOC6540448|XP_002087255.2|DYAK	LOC6630079|XP_002053089.1|DVIR
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC120321238|XP_039229334.1|DYAK	LOC6630106|XP_032288838.1|DVIR
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC6540554|XP_002087344.1|DYAK	LOC6637312|XP_002060557.1|DVIR
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC6536141|XP_039231654.1|DYAK	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC120322219|XP_039233209.1|DYAK	LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC120322218|XP_039233208.1|DYAK	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC116649824|XP_032288860.1|DVIR
OG0000010	LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC6534063|XP_002094749.1|DYAK	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC6635697|XP_002059270.2|DVIR
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC6538786|XP_002099299.1|DYAK	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC120320742|XP_039227211.1|DYAK	LOC116652015|XP_032295550.1|DVIR
OG0000015	LOC6529704|XP_002090697.2|DYAK	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC6530275|XP_002091207.2|DYAK, LOC6538477|XP_002099001.3|DYAK	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC6536965|XP_002097534.1|DYAK	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC6530731|XP_002091621.1|DYAK	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC6536862|XP_002097431.1|DYAK	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC6531360|XP_002092163.2|DYAK	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC6525488|XP_002101323.1|DYAK	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC6529087|XP_002090100.1|DYAK	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC6537169|XP_002097730.1|DYAK	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC6535129|XP_039230803.1|DYAK	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC6539128|XP_002086029.1|DYAK	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC6538220|XP_039231078.1|DYAK, LOC6538219|XP_002098746.2|DYAK	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC6531831|XP_002092618.3|DYAK	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC6529100|XP_002090113.1|DYAK	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC6526432|XP_002087551.1|DYAK	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC6533164|XP_002093890.1|DYAK	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC26535774|XP_015049832.1|DYAK	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC6533166|XP_002093892.1|DYAK	LOC6623326|XP_002046138.1|DVIR
