Orthogroup	DYAK.longest_only	DSAN.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC26536205|XP_015052957.2|DYAK	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC6538960|XP_002099463.2|DYAK	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC26536234|XP_015048941.1|DYAK	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN
OG0000000	LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK	LOC120455242|XP_039497157.1|DSAN
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC6532990|XP_039229806.1|DYAK	LOC120447669|XP_039485129.1|DSAN
