Orthogroup	DYAK.longest_only	DKIK.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC6536389|XP_002096971.3|DYAK	LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC6532990|XP_039229806.1|DYAK	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC108082669|XP_017033655.1|DKIK
