Orthogroup	DYAK.longest_only	DSUZ.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC6536389|XP_002096971.3|DYAK	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC6527857|XP_002088929.1|DYAK	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC6531513|XP_002092312.3|DYAK	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK	LOC108020024|XP_036672415.1|DSUZ
OG0000000	LOC6526414|XP_002087533.2|DYAK	LOC108011960|XP_036678587.1|DSUZ
OG0000000	LOC26535595|XP_015049129.2|DYAK	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC6538949|XP_002099452.1|DYAK	LOC108012154|XP_036675464.1|DSUZ
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK	LOC118877061|XP_036669823.1|DSUZ
OG0000000	LOC6530976|XP_002091814.2|DYAK	LOC108017737|XP_016940334.1|DSUZ
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC6535316|XP_002095972.1|DYAK	LOC118878061|XP_036675143.1|DSUZ
OG0000000	LOC6539519|XP_002086405.1|DYAK	LOC108007479|XP_036670397.1|DSUZ
OG0000000	LOC6539518|XP_039230304.1|DYAK	LOC108007497|XP_016926669.2|DSUZ
OG0000000	LOC6533890|XP_002094590.1|DYAK	LOC108021799|XP_036676928.1|DSUZ
OG0000001	LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ
OG0000001	LOC120320646|XP_039226853.1|DYAK	LOC118876749|XP_016938664.1|DSUZ
OG0000001	LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK	LOC108020087|XP_016943677.1|DSUZ
OG0000001	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK	LOC118878822|XP_036677740.1|DSUZ
OG0000001	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK	LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC108011106|XP_016931667.2|DSUZ
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC108021294|XP_016945474.2|DSUZ
OG0000003	LOC6530460|XP_002091376.2|DYAK	LOC108008945|XP_016928345.1|DSUZ
OG0000003	LOC6530462|XP_002091378.1|DYAK	LOC108008944|XP_016928343.1|DSUZ
OG0000003	LOC6538264|XP_002098791.1|DYAK	LOC118877697|XP_036673424.1|DSUZ
OG0000003	LOC6530463|XP_002091379.1|DYAK	LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC6530458|XP_002091374.1|DYAK	LOC108008949|XP_016928349.1|DSUZ
OG0000003	LOC6530457|XP_002091373.1|DYAK	LOC108008948|XP_016928348.1|DSUZ
OG0000003	LOC6530461|XP_002091377.1|DYAK	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC6528606|XP_002089649.1|DYAK	LOC108019592|XP_016942921.1|DSUZ
OG0000003	LOC120320435|XP_002089650.1|DYAK	LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC108007096|XP_016926191.1|DSUZ
OG0000005	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK	LOC118879641|XP_036678429.1|DSUZ
OG0000005	LOC120321241|XP_039229337.1|DYAK	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ
OG0000005	LOC120322205|XP_039233196.1|DYAK	LOC118879258|XP_036678034.1|DSUZ
OG0000005	LOC120322201|XP_039233192.1|DYAK	LOC108016328|XP_036678434.1|DSUZ
OG0000005	LOC120321243|XP_039229339.1|DYAK	LOC118879512|XP_036678269.1|DSUZ
OG0000006	LOC120322195|XP_039233186.1|DYAK	LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC120321198|XP_039229117.1|DYAK	LOC108016327|XP_016938453.2|DSUZ
OG0000006	LOC26535831|XP_015045247.2|DYAK	LOC118879645|XP_036678432.1|DSUZ
OG0000007	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC118877416|XP_036672028.1|DSUZ
OG0000007	LOC6533143|XP_002093869.1|DYAK	LOC108013025|XP_016934104.1|DSUZ
OG0000007	LOC6533140|XP_002093866.1|DYAK	LOC108013029|XP_016934109.1|DSUZ
OG0000007	LOC6533138|XP_002093864.1|DYAK	LOC108012427|XP_016933279.1|DSUZ
OG0000007	LOC6533139|XP_002093865.1|DYAK	LOC108012288|XP_016933078.2|DSUZ
OG0000007	LOC6527619|XP_002088707.1|DYAK	LOC118879795|XP_036678702.1|DSUZ
OG0000007	LOC6528628|XP_002089670.1|DYAK	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC6527618|XP_002088706.1|DYAK	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC6532723|XP_002093465.1|DYAK	LOC108012353|XP_016933194.1|DSUZ
OG0000007	LOC6532724|XP_002093466.1|DYAK	LOC108012354|XP_016933195.2|DSUZ
OG0000007	LOC6527620|XP_002088708.1|DYAK	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	LOC6533145|XP_002093871.1|DYAK	LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC6532927|XP_002093663.1|DYAK	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC6532928|XP_002093664.1|DYAK	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC6524096|XP_002099960.1|DYAK	LOC108011129|XP_016931690.1|DSUZ
OG0000008	LOC6536141|XP_039231654.1|DYAK	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC108014235|XP_016935760.2|DSUZ
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC6535720|XP_002096346.1|DYAK	LOC108015574|XP_036672879.1|DSUZ
OG0000009	LOC6535722|XP_002096348.1|DYAK	LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC6533117|XP_002093843.1|DYAK	LOC108011415|XP_036670407.1|DSUZ
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC6536768|XP_002097339.1|DYAK	LOC108019245|XP_036673765.1|DSUZ
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC6530111|XP_002091057.1|DYAK	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC120322218|XP_039233208.1|DYAK	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC120322222|XP_039233212.1|DYAK	LOC118877317|XP_036671430.1|DSUZ
OG0000010	LOC120322221|XP_039233211.1|DYAK	LOC108006791|XP_016925829.1|DSUZ
OG0000011	LOC26534881|XP_015054560.1|DYAK	LOC108005601|XP_016924394.1|DSUZ
OG0000011	LOC6525318|XP_002101154.2|DYAK	LOC108018989|XP_016942085.1|DSUZ
OG0000011	LOC120320450|XP_039227155.1|DYAK	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ
OG0000011	LOC6526687|XP_002087792.2|DYAK	LOC108010267|XP_016930620.1|DSUZ
OG0000011	LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK	LOC108007943|XP_016927205.1|DSUZ
OG0000011	LOC26535503|XP_015045173.2|DYAK	LOC108011057|XP_016931608.2|DSUZ
OG0000011	LOC6529533|XP_039228709.1|DYAK	LOC108020156|XP_036668757.1|DSUZ
OG0000011	LOC6529527|XP_039228713.1|DYAK	LOC108014635|XP_016936289.1|DSUZ
OG0000011	LOC120320662|XP_039226899.1|DYAK	LOC108005222|XP_016923902.1|DSUZ
OG0000011	LOC6534062|XP_002094748.1|DYAK	LOC108012408|XP_016933257.1|DSUZ
OG0000011	LOC6534063|XP_002094749.1|DYAK	LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC118877899|XP_036674305.1|DSUZ
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC6530954|XP_002091792.1|DYAK	LOC108008112|XP_016927391.1|DSUZ
OG0000012	LOC6530955|XP_002091793.1|DYAK	LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC6530135|XP_002091081.1|DYAK	LOC108008513|XP_016927870.1|DSUZ
OG0000012	LOC6530133|XP_002091079.2|DYAK	LOC108008168|XP_036669662.1|DSUZ
