Orthogroup	DYAK.longest_only	DPSE.longest_only
OG0000000	LOC120321802|XP_039231662.1|DYAK	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC6529038|XP_002090069.2|DYAK	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC6536475|XP_002097056.2|DYAK	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC6530087|XP_002091033.1|DYAK	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC6535099|XP_039229818.1|DYAK	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC6535097|XP_039229817.1|DYAK	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC6535098|XP_002095761.2|DYAK	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC6537714|XP_002098259.2|DYAK	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC6529465|XP_002090467.1|DYAK	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK	LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE
OG0000001	LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK	LOC117183652|XP_033234147.1|DPSE, LOC117183653|XP_033234148.1|DPSE, LOC117184892|XP_033239892.1|DPSE, LOC117183651|XP_033234146.1|DPSE, LOC117183772|XP_033234922.1|DPSE, LOC117184855|XP_033239804.1|DPSE
OG0000001	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC6528284|XP_002089337.3|DYAK	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC6900542|XP_033238667.1|DPSE
OG0000003	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC6530459|XP_002091375.1|DYAK, LOC6530461|XP_002091377.1|DYAK	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC4804975|XP_001361450.3|DPSE
