Orthogroup	DFIC.longest_only	DNOV.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC	LOC115762365|XP_030560399.1|DNOV
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC115771912|XP_030573666.1|DNOV
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC115761984|XP_030559891.1|DNOV, LOC115761916|XP_030559794.1|DNOV, LOC115759840|XP_030556794.1|DNOV, LOC115770898|XP_030572192.1|DNOV, LOC115761914|XP_030559792.1|DNOV, LOC115770721|XP_030571980.1|DNOV, LOC115761842|XP_030559683.1|DNOV, LOC115761919|XP_030559797.1|DNOV, LOC115761998|XP_030559925.1|DNOV, LOC115770595|XP_030571793.1|DNOV, LOC115770583|XP_030571768.1|DNOV, LOC115770617|XP_030571813.1|DNOV, LOC115761918|XP_030559796.1|DNOV, LOC115761997|XP_030559924.1|DNOV, LOC115770818|XP_030572100.1|DNOV, LOC115761952|XP_030559851.1|DNOV, LOC115770819|XP_030572101.1|DNOV, LOC115770899|XP_030572193.1|DNOV, LOC115761880|XP_030559741.1|DNOV, LOC115761847|XP_030559689.1|DNOV, LOC115770817|XP_030572099.1|DNOV
OG0000005	LOC108098264|XP_017056555.1|DFIC	LOC115761855|XP_030559702.1|DNOV
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC108093260|XP_017048726.1|DFIC	LOC115760652|XP_030557979.1|DNOV
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC115767684|XP_030567836.1|DNOV
