Orthogroup	DFIC.longest_only	AALB.longest_only
OG0000001	LOC108094352|XP_017050381.1|DFIC, LOC108098394|XP_017056755.1|DFIC	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC118465137|XP_035788967.1|AALB
OG0000012	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC108091979|XP_017046877.1|DFIC, LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC108093677|XP_017049345.1|DFIC, LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC118461108|XP_035781919.1|AALB
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC108100821|XP_017060378.1|DFIC, LOC108100819|XP_017060376.1|DFIC, LOC108100820|XP_017060377.1|DFIC	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC	LOC118467279|XP_035793475.1|AALB
