Orthogroup	DFIC.longest_only	DALB.longest_only
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC, LOC108098764|XP_017057385.1|DFIC, LOC108086784|XP_017039313.1|DFIC, LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC, LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC, LOC108086787|XP_017039316.1|DFIC, LOC108087064|XP_017039728.1|DFIC, LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC, LOC108099241|XP_017058101.1|DFIC, LOC108090590|XP_017044830.1|DFIC	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC108091368|XP_017046009.1|DFIC, LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC117570317|XP_034107750.1|DALB
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC108095490|XP_017052085.1|DFIC, LOC108086334|XP_017038726.1|DFIC, LOC108086315|XP_017038706.1|DFIC, LOC108100826|XP_017060384.1|DFIC, LOC108100793|XP_017060324.1|DFIC	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
