Orthogroup	DFIC.longest_only	DBIA.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC108029324|XP_016957007.1|DBIA
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC108089296|XP_017042963.1|DFIC	LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC108098802|XP_017057433.1|DFIC	LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC	LOC108031001|XP_016959690.1|DBIA
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC108087064|XP_017039728.1|DFIC	LOC108023058|XP_016947798.1|DBIA
OG0000000	LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC	LOC108028940|XP_016956448.1|DBIA
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC108089293|XP_017042959.1|DFIC	LOC108034432|XP_016964806.1|DBIA
OG0000000	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC108027980|XP_016955095.1|DBIA
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC108092286|XP_017047310.1|DFIC	LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC108087667|XP_017040650.1|DFIC	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC108099209|XP_017058075.1|DFIC	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA
OG0000003	LOC108087749|XP_017040761.1|DFIC	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC108090319|XP_017044419.1|DFIC	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC108029367|XP_016957083.1|DBIA
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC108021908|XP_016946219.1|DBIA
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC108093241|XP_017048705.1|DFIC	LOC108028547|XP_016955936.1|DBIA
OG0000007	LOC108093261|XP_017048727.1|DFIC	LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC108099497|XP_017058547.1|DFIC	LOC108025402|XP_016951367.1|DBIA
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC108088955|XP_017042464.1|DFIC	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC108093288|XP_017048753.1|DFIC	LOC108031027|XP_016959717.1|DBIA
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC	LOC108031475|XP_016960425.1|DBIA
OG0000009	LOC108101116|XP_017060824.1|DFIC	LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC108032134|XP_016961458.1|DBIA
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC108086655|XP_017039128.1|DFIC	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA
OG0000009	LOC108086610|XP_017039074.1|DFIC	LOC108022200|XP_016946542.1|DBIA
