Orthogroup	DFIC.longest_only	CCAP.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC, LOC108098759|XP_017057380.1|DFIC	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC108089295|XP_017042962.1|DFIC, LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC, LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC, LOC108098764|XP_017057385.1|DFIC, LOC108086784|XP_017039313.1|DFIC, LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC, LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC, LOC108086787|XP_017039316.1|DFIC, LOC108087064|XP_017039728.1|DFIC, LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC, LOC108099241|XP_017058101.1|DFIC, LOC108090590|XP_017044830.1|DFIC	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC, LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC, LOC108091368|XP_017046009.1|DFIC, LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC108094352|XP_017050381.1|DFIC	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP
OG0000001	LOC108098394|XP_017056755.1|DFIC	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC108087705|XP_017040710.1|DFIC, LOC108094289|XP_017050276.1|DFIC	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC108087605|XP_017040533.1|DFIC	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000004	LOC108094043|XP_017049969.1|DFIC, LOC108098156|XP_017056380.1|DFIC	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC108098248|XP_017056531.1|DFIC	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC108099856|XP_017058991.1|DFIC	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC108093252|XP_017048717.1|DFIC	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC108101034|XP_017060691.1|DFIC	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC108100331|XP_017059630.1|DFIC	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC108100333|XP_017059632.1|DFIC	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC108091746|XP_017046577.1|DFIC	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC108091769|XP_017046605.1|DFIC	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC108091757|XP_017046589.1|DFIC	CCAP1982_LOCUS3595|CAD6994860.1|CCAP
OG0000008	LOC108091754|XP_017046587.1|DFIC	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC108091767|XP_017046601.1|DFIC	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC108101115|XP_017060823.1|DFIC	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC108098255|XP_017056544.1|DFIC	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC108086289|XP_017038672.1|DFIC	CCAP1982_LOCUS6248|CAD6997612.1|CCAP
OG0000012	LOC108096904|XP_017054341.1|DFIC	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
