Orthogroup	DFIC.longest_only	CQUI.longest_only
OG0000005	LOC108102298|XP_017038659.1|DFIC	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC108099856|XP_017058991.1|DFIC, LOC108093252|XP_017048717.1|DFIC, LOC108093253|XP_017048718.1|DFIC, LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC, LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC108091986|XP_017046887.1|DFIC, LOC108098255|XP_017056544.1|DFIC, LOC108086289|XP_017038672.1|DFIC	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC6048602|XP_038111058.1|CQUI
OG0000012	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC6046845|XP_001863980.2|CQUI, LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC6047923|XP_001864910.2|CQUI
OG0000016	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC6045438|XP_001862809.2|CQUI, LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC6049793|XP_038119134.1|CQUI
