Orthogroup	DFIC.longest_only	DGUA.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC108093605|XP_017049220.1|DFIC	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108091368|XP_017046009.1|DFIC	LOC117585432|XP_034130797.1|DGUA
OG0000000	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC117583987|XP_034128590.1|DGUA
OG0000004	LOC108098156|XP_017056380.1|DFIC	LOC117591774|XP_034140974.1|DGUA
OG0000005	LOC108101399|XP_017061208.1|DFIC	LOC117591669|XP_034140883.1|DGUA
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC117591659|XP_034140873.1|DGUA, LOC117584032|XP_034128659.1|DGUA, LOC117591507|XP_034140693.1|DGUA, LOC117581361|XP_034124384.1|DGUA, LOC117591646|XP_034140862.1|DGUA, LOC117591690|XP_034140904.1|DGUA
OG0000005	LOC108102298|XP_017038659.1|DFIC	LOC117591790|XP_034140985.1|DGUA
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC108099497|XP_017058547.1|DFIC	LOC117583201|XP_034127296.1|DGUA
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC117586221|XP_034132048.1|DGUA
