Orthogroup	DFIC.longest_only	DSER.longest_only
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC108086783|XP_017039312.1|DFIC	LOC110186911|XP_020811890.1|DSER
OG0000000	LOC108098802|XP_017057433.1|DFIC	LOC110186265|XP_020811031.1|DSER
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC108089293|XP_017042959.1|DFIC	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC108089294|XP_017042961.1|DFIC	LOC110190479|XP_020816650.1|DSER
OG0000000	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC110185197|XP_020809581.1|DSER
