Orthogroup	DFIC.longest_only	DPSE.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC26532949|XP_015039423.1|DPSE
OG0000000	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC	LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000005	LOC108101399|XP_017061208.1|DFIC	LOC6897430|XP_002137581.2|DPSE
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC117185639|XP_033241725.1|DPSE, LOC117185638|XP_033241724.1|DPSE, LOC117183191|XP_002136583.1|DPSE, LOC117185614|XP_033241644.1|DPSE, LOC117185615|XP_033241645.1|DPSE, LOC6903936|XP_033233874.1|DPSE, LOC117183560|XP_033233682.1|DPSE, LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE, LOC117183589|XP_033233906.1|DPSE, LOC6903934|XP_002136584.1|DPSE, LOC117185612|XP_033241642.1|DPSE, LOC6903933|XP_002136581.1|DPSE, LOC117185613|XP_033241643.1|DPSE, LOC6903937|XP_002136580.1|DPSE
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC6900428|XP_002134819.1|DPSE
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC4805058|XP_001361522.1|DPSE
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC117185618|XP_033241648.1|DPSE, LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC26532710|XP_015035140.1|DPSE
OG0000011	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC	LOC6903257|XP_015036468.1|DPSE, LOC26534003|XP_015037011.2|DPSE, LOC6902418|XP_033235641.1|DPSE, LOC6902419|XP_015037014.2|DPSE, LOC26532842|XP_033240537.1|DPSE, LOC6903258|XP_033236331.1|DPSE, LOC117184128|XP_033236322.1|DPSE, LOC117184127|XP_033236312.1|DPSE, LOC6903259|XP_015036470.1|DPSE, LOC6900979|XP_033239557.1|DPSE, LOC6904000|XP_033239558.1|DPSE, LOC6903305|XP_002132493.1|DPSE, LOC6903279|XP_002132978.2|DPSE, LOC26533994|XP_033236319.1|DPSE, LOC117184073|XP_033236055.1|DPSE, LOC26533837|XP_033236050.1|DPSE, LOC117184074|XP_033236060.1|DPSE, LOC6903240|XP_033236052.1|DPSE, LOC6903239|XP_015036440.1|DPSE
OG0000011	LOC108086883|XP_017039433.1|DFIC	LOC117183548|XP_033233646.1|DPSE, LOC6897642|XP_033241732.1|DPSE, LOC117185097|XP_033240835.1|DPSE
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC6900040|XP_002135404.2|DPSE
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC108086628|XP_017039092.1|DFIC	LOC4804263|XP_001360847.3|DPSE
OG0000012	LOC108086618|XP_017039083.1|DFIC	LOC6898438|XP_002138480.2|DPSE
OG0000012	LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC108086627|XP_017039091.1|DFIC	LOC6898439|XP_002138481.3|DPSE
OG0000012	LOC108086756|XP_017039284.1|DFIC	LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC6897333|XP_033232478.1|DPSE, LOC4801762|XP_001358803.2|DPSE
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
OG0000015	LOC108086461|XP_017038876.1|DFIC	LOC6902329|XP_002133283.3|DPSE, LOC6902626|XP_033236804.1|DPSE
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC108101533|XP_017061396.1|DFIC	LOC4805006|XP_001361476.2|DPSE
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC108095642|XP_017052296.1|DFIC	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC108087715|XP_017040725.1|DFIC	LOC4804477|XP_001361035.3|DPSE
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC108093138|XP_017048572.1|DFIC, LOC108093140|XP_017048574.1|DFIC	LOC6900715|XP_002135078.1|DPSE, LOC6900712|XP_002135075.1|DPSE, LOC6900714|XP_002135077.1|DPSE, LOC6900713|XP_002135076.1|DPSE
OG0000018	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC108089992|XP_017043983.1|DFIC	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC108090792|XP_017045128.1|DFIC	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC108090653|XP_017044920.1|DFIC	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC108093638|XP_017049284.1|DFIC	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC6901473|XP_033238237.1|DPSE
