Orthogroup	DFIC.longest_only	SLEB.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC, LOC108098759|XP_017057380.1|DFIC	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC108089295|XP_017042962.1|DFIC, LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC108094352|XP_017050381.1|DFIC, LOC108098394|XP_017056755.1|DFIC	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC115634507|XP_030388133.1|SLEB
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC115619981|XP_030368881.1|SLEB
OG0000004	LOC108094043|XP_017049969.1|DFIC	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC115630131|XP_030382599.1|SLEB, LOC115630138|XP_030382606.1|SLEB, LOC115630291|XP_030382687.1|SLEB, LOC115630298|XP_030382696.1|SLEB, LOC115630315|XP_030382713.1|SLEB, LOC115630295|XP_030382692.1|SLEB, LOC115630320|XP_030382719.1|SLEB, LOC115633453|XP_030386768.1|SLEB, LOC115633454|XP_030386769.1|SLEB, LOC115630356|XP_030382750.1|SLEB, LOC115630307|XP_030382704.1|SLEB, LOC115630346|XP_030382739.1|SLEB, LOC115630288|XP_030382683.1|SLEB, LOC115630258|XP_030382653.1|SLEB, LOC115630317|XP_030382714.1|SLEB, LOC115630282|XP_030382678.1|SLEB, LOC115630355|XP_030382749.1|SLEB, LOC115630321|XP_030382720.1|SLEB, LOC115630285|XP_030382681.1|SLEB, LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB, LOC115630283|XP_030382679.1|SLEB, LOC115630365|XP_030382758.1|SLEB, LOC115630137|XP_030382605.1|SLEB, LOC115630358|XP_030382752.1|SLEB
OG0000006	LOC108098248|XP_017056531.1|DFIC	LOC115630120|XP_030382591.1|SLEB
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC115630278|XP_030382673.1|SLEB
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108093253|XP_017048718.1|DFIC, LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000015	LOC108086461|XP_017038876.1|DFIC, LOC108098714|XP_017057318.1|DFIC, LOC108094483|XP_017050559.1|DFIC	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108090474|XP_017044659.1|DFIC	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108098017|XP_017056155.1|DFIC	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC108101533|XP_017061396.1|DFIC	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC108099991|XP_017059177.1|DFIC	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108087716|XP_017040726.1|DFIC	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108099990|XP_017059176.1|DFIC	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108094147|XP_017050074.1|DFIC, LOC108094148|XP_017050075.1|DFIC	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108093128|XP_017048562.1|DFIC	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC108093130|XP_017048564.1|DFIC	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC108086541|XP_017038967.1|DFIC	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108086535|XP_017038961.1|DFIC	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC108086543|XP_017038970.1|DFIC	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC108086571|XP_017039016.1|DFIC	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC108087826|XP_017040886.1|DFIC	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC108100979|XP_017060622.1|DFIC	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC108101093|XP_017060792.1|DFIC	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC108102060|XP_017062180.1|DFIC	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC115625796|XP_030376833.1|SLEB
