Orthogroup	DFIC.longest_only	HILL.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC, LOC108098759|XP_017057380.1|DFIC, LOC108089295|XP_017042962.1|DFIC, LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC, LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC, LOC108098764|XP_017057385.1|DFIC, LOC108086784|XP_017039313.1|DFIC, LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC, LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC, LOC108086787|XP_017039316.1|DFIC, LOC108087064|XP_017039728.1|DFIC, LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC, LOC108099241|XP_017058101.1|DFIC, LOC108090590|XP_017044830.1|DFIC, LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC, LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC, LOC108091368|XP_017046009.1|DFIC, LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000004	LOC108094043|XP_017049969.1|DFIC, LOC108098156|XP_017056380.1|DFIC	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC119651767|XP_037911435.1|HILL
OG0000007	LOC108099856|XP_017058991.1|DFIC, LOC108093252|XP_017048717.1|DFIC, LOC108093253|XP_017048718.1|DFIC, LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC, LOC108093260|XP_017048726.1|DFIC, LOC108089978|XP_017043968.1|DFIC, LOC108090582|XP_017044820.1|DFIC, LOC108099497|XP_017058547.1|DFIC, LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC, LOC108088540|XP_017041874.1|DFIC, LOC108089778|XP_017043661.1|DFIC, LOC108088955|XP_017042464.1|DFIC, LOC108088950|XP_017042460.1|DFIC, LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC, LOC108093152|XP_017048588.1|DFIC, LOC108093153|XP_017048589.1|DFIC	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC119652756|XP_037912988.1|HILL
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC119649591|XP_037907728.1|HILL
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC, LOC108091746|XP_017046577.1|DFIC, LOC108091769|XP_017046605.1|DFIC	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL
OG0000008	LOC108091757|XP_017046589.1|DFIC, LOC108091754|XP_017046587.1|DFIC, LOC108091767|XP_017046601.1|DFIC	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL
OG0000009	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC119657050|XP_037919732.1|HILL, LOC119656775|XP_037919284.1|HILL
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC119656847|XP_037919426.1|HILL
OG0000011	LOC108101273|XP_017061049.1|DFIC, LOC108100009|XP_017059202.1|DFIC, LOC108101289|XP_017061078.1|DFIC, LOC108100104|XP_017059339.1|DFIC, LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC, LOC108086883|XP_017039433.1|DFIC, LOC108086913|XP_017039476.1|DFIC, LOC108098799|XP_017057429.1|DFIC	LOC119646989|XP_037903630.1|HILL
