Orthogroup	DFIC.longest_only	DKIK.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC108077905|XP_017026932.1|DKIK
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC108086783|XP_017039312.1|DFIC	LOC108085307|XP_017037354.1|DKIK
OG0000000	LOC108098764|XP_017057385.1|DFIC	LOC108085308|XP_017037355.1|DKIK
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC108100131|XP_017059373.1|DFIC	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC	LOC108082281|XP_017033101.1|DKIK
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC108089293|XP_017042959.1|DFIC	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC108094815|XP_017051075.1|DFIC	LOC108082094|XP_017032879.1|DKIK
OG0000002	LOC108095490|XP_017052085.1|DFIC	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK
OG0000002	LOC108086334|XP_017038726.1|DFIC, LOC108086315|XP_017038706.1|DFIC, LOC108100826|XP_017060384.1|DFIC, LOC108100793|XP_017060324.1|DFIC	LOC108073777|XP_017021033.1|DKIK, LOC108073812|XP_017021076.1|DKIK
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC108092286|XP_017047310.1|DFIC	LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000003	LOC108087667|XP_017040650.1|DFIC	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC108099209|XP_017058075.1|DFIC	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC108087749|XP_017040761.1|DFIC	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC108090319|XP_017044419.1|DFIC	LOC108070791|XP_017016879.1|DKIK
OG0000003	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC108070792|XP_017016880.1|DKIK
OG0000004	LOC108094043|XP_017049969.1|DFIC	LOC108083332|XP_017034568.1|DKIK
OG0000004	LOC108098156|XP_017056380.1|DFIC	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK
OG0000005	LOC108101399|XP_017061208.1|DFIC	LOC108071511|XP_017017769.1|DKIK
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC108081065|XP_017031536.1|DKIK, LOC108085749|XP_017037978.1|DKIK
OG0000005	LOC108102298|XP_017038659.1|DFIC	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC108098248|XP_017056531.1|DFIC	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC108071918|XP_017018366.1|DKIK
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC	LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC108088540|XP_017041874.1|DFIC	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC108088955|XP_017042464.1|DFIC	LOC108078726|XP_017028216.1|DKIK
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC108093288|XP_017048753.1|DFIC	LOC108085665|XP_017037844.1|DKIK
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK
OG0000009	LOC108101116|XP_017060824.1|DFIC	LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC108094178|XP_017050126.1|DFIC	LOC108082309|XP_017033129.1|DKIK
OG0000009	LOC108086653|XP_017039126.1|DFIC	LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK
OG0000009	LOC108086655|XP_017039128.1|DFIC	LOC108082367|XP_017033197.1|DKIK
OG0000009	LOC108086610|XP_017039074.1|DFIC	LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC108076493|XP_017024885.1|DKIK, LOC108081051|XP_017031512.1|DKIK, LOC108072854|XP_017019661.1|DKIK
OG0000010	LOC108086289|XP_017038672.1|DFIC	LOC108073959|XP_017021281.1|DKIK
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC108084633|XP_017036410.1|DKIK
OG0000011	LOC108101289|XP_017061078.1|DFIC	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK
OG0000011	LOC108100104|XP_017059339.1|DFIC	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK
OG0000011	LOC108098171|XP_017056393.1|DFIC, LOC108095556|XP_017052180.1|DFIC	LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC108073175|XP_017020170.1|DKIK
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC108086628|XP_017039092.1|DFIC	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC108086618|XP_017039083.1|DFIC	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC108086755|XP_017039283.1|DFIC	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK
OG0000012	LOC108086630|XP_017039094.1|DFIC	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC108086627|XP_017039091.1|DFIC	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC108086756|XP_017039284.1|DFIC	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC108086910|XP_017039470.1|DFIC	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC108087118|XP_017039788.1|DFIC	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC108091996|XP_017046910.1|DFIC	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC108098206|XP_017056435.1|DFIC	LOC108082548|XP_017033482.1|DKIK, LOC108082527|XP_017033449.1|DKIK
OG0000015	LOC108092527|XP_017047639.1|DFIC	LOC108086091|XP_017038403.1|DKIK
OG0000015	LOC108094767|XP_017051032.1|DFIC, LOC108094097|XP_017050010.1|DFIC, LOC108101938|XP_017062014.1|DFIC, LOC108101948|XP_017062025.1|DFIC, LOC108091404|XP_017046083.1|DFIC, LOC108091405|XP_017046084.1|DFIC	LOC108074481|XP_017022042.1|DKIK
OG0000015	LOC108100911|XP_017060514.1|DFIC, LOC108100840|XP_017060402.1|DFIC, LOC108100786|XP_017060316.1|DFIC, LOC108100835|XP_017060395.1|DFIC, LOC108100853|XP_017060421.1|DFIC, LOC108100833|XP_017060393.1|DFIC	LOC108085342|XP_017037387.1|DKIK
OG0000015	LOC108086461|XP_017038876.1|DFIC	LOC108073116|XP_017020100.1|DKIK
OG0000015	LOC108094483|XP_017050559.1|DFIC	LOC108073474|XP_017020616.1|DKIK, LOC108073502|XP_017020662.1|DKIK, LOC108073482|XP_017020629.1|DKIK, LOC108074488|XP_017022050.1|DKIK
OG0000016	LOC108091644|XP_017046435.1|DFIC	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC108095161|XP_017051608.1|DFIC	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC108091135|XP_017045658.1|DFIC	LOC108071378|XP_017017603.1|DKIK
OG0000016	LOC108096392|XP_017053452.1|DFIC	LOC108081075|XP_017031544.1|DKIK
