Orthogroup	DFIC.longest_only	DYAK.longest_only
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC108100131|XP_017059373.1|DFIC	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC26535595|XP_015049129.2|DYAK, LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC108095110|XP_017051537.1|DFIC	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC108089293|XP_017042959.1|DFIC	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC108089294|XP_017042961.1|DFIC	LOC6539518|XP_039230304.1|DYAK
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC108092286|XP_017047310.1|DFIC	LOC6526775|XP_002087878.2|DYAK
OG0000003	LOC108087667|XP_017040650.1|DFIC	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC6530458|XP_002091374.1|DYAK, LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC108099209|XP_017058075.1|DFIC	LOC6530459|XP_002091375.1|DYAK
OG0000003	LOC108087749|XP_017040761.1|DFIC	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC108090319|XP_017044419.1|DFIC	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC120320435|XP_002089650.1|DYAK
OG0000004	LOC108094043|XP_017049969.1|DFIC	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC120322209|XP_039233200.1|DYAK, LOC120322210|XP_039233201.1|DYAK, LOC120322206|XP_039233197.1|DYAK, LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK, LOC6529211|XP_002090218.1|DYAK, LOC120322207|XP_039233198.1|DYAK, LOC120322199|XP_039233190.1|DYAK, LOC120322204|XP_039233195.1|DYAK, LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK, LOC120322205|XP_039233196.1|DYAK, LOC120321244|XP_039229340.1|DYAK, LOC120322201|XP_039233192.1|DYAK, LOC6539222|XP_002086121.1|DYAK, LOC6540449|XP_002087252.2|DYAK, LOC120322208|XP_039233199.1|DYAK, LOC120322200|XP_039233191.1|DYAK, LOC120321243|XP_039229339.1|DYAK, LOC120322202|XP_039233193.1|DYAK, LOC120322226|XP_039233214.1|DYAK
OG0000006	LOC108098248|XP_017056531.1|DFIC	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC108093241|XP_017048705.1|DFIC	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC	LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC108088955|XP_017042464.1|DFIC	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC108101116|XP_017060824.1|DFIC	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC108086655|XP_017039128.1|DFIC	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC108098255|XP_017056544.1|DFIC	LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC108101428|XP_017061247.1|DFIC	LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC108101273|XP_017061049.1|DFIC	LOC26534881|XP_015054560.1|DYAK
OG0000011	LOC108101289|XP_017061078.1|DFIC	LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK
OG0000011	LOC108100104|XP_017059339.1|DFIC	LOC26535503|XP_015045173.2|DYAK
OG0000011	LOC108098171|XP_017056393.1|DFIC	LOC6529527|XP_039228713.1|DYAK
OG0000011	LOC108095556|XP_017052180.1|DFIC	LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC108086883|XP_017039433.1|DFIC	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC6536394|XP_002096976.1|DYAK
