Orthogroup	DFIC.longest_only	ASTE.longest_only
OG0000001	LOC108094352|XP_017050381.1|DFIC	LOC118508413|XP_035904112.1|ASTE
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC118510932|XP_035909246.1|ASTE
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC108101115|XP_017060823.1|DFIC, LOC108101125|XP_017060838.1|DFIC, LOC108093288|XP_017048753.1|DFIC, LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC, LOC108101116|XP_017060824.1|DFIC, LOC108101809|XP_017061774.1|DFIC, LOC108088079|XP_017041220.1|DFIC, LOC108086769|XP_017039304.1|DFIC, LOC108094178|XP_017050126.1|DFIC, LOC108086653|XP_017039126.1|DFIC, LOC108086655|XP_017039128.1|DFIC, LOC108086610|XP_017039074.1|DFIC	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000012	LOC108096904|XP_017054341.1|DFIC, LOC108096903|XP_017054340.1|DFIC, LOC108096929|XP_017054370.1|DFIC, LOC108096943|XP_017054393.1|DFIC, LOC108096563|XP_017053746.1|DFIC, LOC108096571|XP_017053756.1|DFIC, LOC108086628|XP_017039092.1|DFIC, LOC108086618|XP_017039083.1|DFIC, LOC108086755|XP_017039283.1|DFIC, LOC108086630|XP_017039094.1|DFIC, LOC108086627|XP_017039091.1|DFIC, LOC108086756|XP_017039284.1|DFIC	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC108101557|XP_017061445.1|DFIC	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC108101682|XP_017061593.1|DFIC	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC108098830|XP_017057474.1|DFIC	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC108091996|XP_017046910.1|DFIC, LOC108102250|XP_017062487.1|DFIC, LOC108087940|XP_017041016.1|DFIC	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000016	LOC108091644|XP_017046435.1|DFIC, LOC108095161|XP_017051608.1|DFIC	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC108088049|XP_017041175.1|DFIC	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC108092889|XP_017048224.1|DFIC	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC108093583|XP_017049197.1|DFIC	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC108093126|XP_017048560.1|DFIC	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC108095541|XP_017052159.1|DFIC	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC108091979|XP_017046877.1|DFIC, LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC108093677|XP_017049345.1|DFIC, LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC108088651|XP_017042067.1|DFIC	LOC118517100|XP_035918851.1|ASTE, LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000026	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC108100821|XP_017060378.1|DFIC, LOC108100819|XP_017060376.1|DFIC, LOC108100820|XP_017060377.1|DFIC	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000032	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC, LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC108096138|XP_017053007.1|DFIC	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC108097979|XP_017056090.1|DFIC	LOC118502424|XP_035890544.1|ASTE
OG0000037	LOC108087844|XP_017040913.1|DFIC, LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC108088854|XP_017042318.1|DFIC	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC108088914|XP_017042416.1|DFIC	LOC118510898|XP_035909176.1|ASTE
