Group_ID	AAEG.longest_only.faa	AALB.longest_only.faa	AEAL.longest_only.faa	ASTE.longest_only.faa	BCOP.longest_only.faa	BTRY.longest_only.faa	CCAP.longest_only.faa	CPIP.longest_only.faa	CQUI.longest_only.faa	DALB.longest_only.faa	DANA.longest_only.faa	DBIA.longest_only.faa	DBUS.longest_only.faa	DELE.longest_only.faa	DERE.longest_only.faa	DEUG.longest_only.faa	DFIC.longest_only.faa	DGUA.longest_only.faa	DHYD.longest_only.faa	DKIK.longest_only.faa	DMAU.longest_only.faa	DMEL.longest_only.faa	DMIR.longest_only.faa	DNOV.longest_only.faa	DPER.longest_only.faa	DPSE.longest_only.faa	DSAN.longest_only.faa	DSEC.longest_only.faa	DSER.longest_only.faa	DSIM.longest_only.faa	DSUB.longest_only.faa	DSUP.longest_only.faa	DSUZ.longest_only.faa	DVIR.longest_only.faa	DYAK.longest_only.faa	HILL.longest_only.faa	SLEB.longest_only.faa	total
1	2	11	4	28	8	29	20	3	2	38	45	64	16	40	56	90	64	36	19	67	50	48	67	26	70	66	51	52	54	55	63	58	63	25	55	33	14	1492
2	2	13	248	135	70	37	20	244	300	2	20	5	3	1	0	8	2	2	0	0	8	0	67	6	0	33	10	21	13	9	1	11	16	20	27	112	17	1483
3	145	35	69	11	37	26	8	7	9	13	38	1	2	2	11	2	2	10	47	5	2	46	15	24	36	18	14	0	25	19	1	66	13	26	19	28	74	906
4	17	58	45	16	10	18	4	34	36	43	24	17	34	20	7	9	11	11	28	19	7	6	22	23	15	12	8	7	26	7	11	42	20	24	8	0	4	703
5	97	4	67	12	35	15	0	7	12	13	21	2	0	0	11	1	4	7	26	5	0	23	12	26	26	19	17	0	29	17	2	52	17	28	23	14	48	692
6	84	8	72	1	35	14	8	4	11	13	19	1	0	0	11	1	3	5	29	2	0	20	8	24	23	16	19	0	21	18	2	51	16	28	21	14	39	641
7	15	19	31	23	8	18	14	24	21	28	18	20	7	16	16	18	20	14	11	14	16	15	17	21	14	13	17	13	16	23	13	15	18	14	19	26	11	636
8	6	8	26	10	10	6	6	36	24	11	14	18	17	16	17	22	21	11	13	25	15	17	23	15	15	17	16	17	19	20	12	21	19	13	16	6	7	585
9	96	18	46	2	31	5	6	4	4	12	0	1	2	1	12	1	2	6	0	6	1	19	10	24	24	17	0	1	21	17	1	48	16	31	19	14	20	538
10	15	5	24	6	12	10	5	18	18	23	13	14	18	13	10	18	17	13	15	19	13	12	18	15	15	14	13	17	19	13	16	13	12	17	12	7	9	521
