Orthogroup	DSER.longest_only	BCOP.longest_only
OG0000000	LOC110190761|XP_020817050.1|DSER, LOC110188492|XP_020813881.1|DSER, LOC110181445|XP_020804849.1|DSER, LOC110190735|XP_020817016.1|DSER, LOC110190738|XP_020817019.1|DSER, LOC110190736|XP_020817017.1|DSER, LOC110184046|XP_020808080.1|DSER, LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER, LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER, LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER, LOC110184021|XP_020808046.1|DSER, LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER, LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER, LOC110186290|XP_020811063.1|DSER, LOC110186288|XP_020811061.1|DSER, LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER, LOC110187976|XP_020813156.1|DSER, LOC110184825|XP_020809128.1|DSER, LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER, LOC110187957|XP_020813134.1|DSER, LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER, LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER	LOC119067394|XP_037026221.1|BCOP
OG0000002	LOC110189677|XP_020815494.1|DSER, LOC110189091|XP_020814726.1|DSER	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER, LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP
OG0000004	LOC110182445|XP_020806139.1|DSER	LOC119078393|XP_037041791.1|BCOP
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC119070768|XP_037031146.1|BCOP, LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC110181334|XP_020804711.1|DSER	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC110182435|XP_020806129.1|DSER	LOC119077559|XP_037040665.1|BCOP
OG0000007	LOC110184727|XP_020809014.1|DSER, LOC110184726|XP_020809013.1|DSER, LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER, LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER	LOC119080766|XP_037045225.1|BCOP
