Orthogroup	DSER.longest_only	DPSE.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC117184977|XP_033240205.1|DPSE
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC6900000|XP_002135366.3|DPSE
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER	LOC6896672|XP_033232290.1|DPSE
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC26532949|XP_015039423.1|DPSE
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE
OG0000000	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC6897227|XP_002137399.2|DPSE
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC6902907|XP_033236216.1|DPSE
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC4801605|XP_001358672.2|DPSE
OG0000000	LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER	LOC6897749|XP_033232309.1|DPSE
OG0000001	LOC110187736|XP_020812852.1|DSER	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER	LOC4804982|XP_001361456.3|DPSE
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER	LOC4804980|XP_001361454.1|DPSE
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC6902590|XP_002133118.2|DPSE
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE
OG0000005	LOC110182135|XP_020805804.1|DSER	LOC6903935|XP_002136582.1|DPSE
OG0000005	LOC110182160|XP_020805822.1|DSER	LOC117183560|XP_033233682.1|DPSE
OG0000005	LOC110182142|XP_020805812.1|DSER	LOC117185612|XP_033241642.1|DPSE
OG0000005	LOC110180687|XP_020804031.1|DSER	LOC117185613|XP_033241643.1|DPSE
OG0000005	LOC110182419|XP_020806115.1|DSER	LOC6903937|XP_002136580.1|DPSE
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE
OG0000006	LOC110182133|XP_020805802.1|DSER	LOC117185611|XP_033241640.1|DPSE
OG0000006	LOC110182418|XP_020806113.1|DSER	LOC26534208|XP_015035128.2|DPSE
OG0000006	LOC110182141|XP_020805811.1|DSER, LOC110180689|XP_020804033.1|DSER, LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC117183581|XP_033233838.1|DPSE
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC5495507|XP_001353849.1|DPSE
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC5495509|XP_001355939.3|DPSE
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC4816610|XP_001355938.2|DPSE
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC4813941|XP_001354103.1|DPSE
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC4816998|XP_001356721.3|DPSE
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC4813497|XP_001353852.2|DPSE
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC4813468|XP_001353840.2|DPSE
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC6900302|XP_002135624.1|DPSE
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC4802604|XP_001359493.2|DPSE
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC4804281|XP_001360862.1|DPSE
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC6898444|XP_002138487.3|DPSE
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC117185640|XP_033241727.1|DPSE
OG0000010	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC26532710|XP_015035140.1|DPSE
OG0000010	LOC110180663|XP_020804013.1|DSER	LOC117185642|XP_033241729.1|DPSE
