Orthogroup	DSER.longest_only	DEUG.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC110186265|XP_020811031.1|DSER	LOC108104206|XP_017065639.1|DEUG
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC108113483|XP_017079557.1|DEUG
OG0000000	LOC110185901|XP_020810577.1|DSER	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC108114927|XP_017081602.1|DEUG
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC108114139|XP_017080411.1|DEUG
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC108113890|XP_017080084.1|DEUG
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC108108505|XP_017072063.1|DEUG
