Orthogroup	DSER.longest_only	DMAU.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER	LOC117139179|XP_033157239.1|DMAU
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC117140538|XP_033159418.1|DMAU
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC117149870|XP_033172720.1|DMAU
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC110177811|XP_020800360.1|DSER	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC110184729|XP_020809016.1|DSER	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC110184693|XP_020808964.1|DSER	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC110189366|XP_020815075.1|DSER	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU
OG0000007	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC117139091|XP_033157106.1|DMAU
