Orthogroup	DSER.longest_only	DBIA.longest_only
OG0000000	LOC110190761|XP_020817050.1|DSER	LOC108029860|XP_016957839.1|DBIA
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC110186265|XP_020811031.1|DSER	LOC108024280|XP_016949667.1|DBIA
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER	LOC108025172|XP_016950938.1|DBIA
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC110185901|XP_020810577.1|DSER	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC108034432|XP_016964806.1|DBIA
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC108027710|XP_016954748.1|DBIA
OG0000002	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER	LOC108029019|XP_016956553.1|DBIA
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC108030172|XP_016958401.1|DBIA
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC108029931|XP_016957914.1|DBIA, LOC108030395|XP_016958768.1|DBIA, LOC108034850|XP_016965477.1|DBIA
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC108034204|XP_016964524.1|DBIA
OG0000004	LOC110182445|XP_020806139.1|DSER	LOC108021905|XP_016946216.1|DBIA
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC110184693|XP_020808964.1|DSER	LOC108028068|XP_016955198.1|DBIA
OG0000007	LOC110184730|XP_020809017.1|DSER	LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC110189366|XP_020815075.1|DSER	LOC108025402|XP_016951367.1|DBIA
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC108034518|XP_016964930.1|DBIA
