Orthogroup	DSER.longest_only	DMIR.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108154608|XP_017140414.2|DMIR
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC108163440|XP_017154213.2|DMIR, LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC108161412|XP_017151153.2|DMIR
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC108160275|XP_017149646.1|DMIR
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC108163634|XP_017154532.1|DMIR
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC108156703|XP_017143841.1|DMIR, LOC117187288|XP_033245550.1|DMIR, LOC117187289|XP_033245551.1|DMIR, LOC117187287|XP_033245549.1|DMIR, LOC117187293|XP_033245555.1|DMIR, LOC117187292|XP_033245554.1|DMIR, LOC117187295|XP_033245557.1|DMIR, LOC117187291|XP_033245553.1|DMIR, LOC117187294|XP_033245556.1|DMIR, LOC117187290|XP_033245552.1|DMIR
OG0000005	LOC110182156|XP_020805819.1|DSER	LOC117187309|XP_033245571.1|DMIR
OG0000005	LOC110182412|XP_020806108.1|DSER	LOC108156706|XP_017143843.1|DMIR
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC117187301|XP_033245562.1|DMIR
