Orthogroup	DSER.longest_only	DKIK.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC110186264|XP_020811030.1|DSER	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK
OG0000000	LOC110186911|XP_020811890.1|DSER	LOC108085307|XP_017037354.1|DKIK
OG0000000	LOC110190695|XP_020816967.1|DSER	LOC108084391|XP_017036073.1|DKIK
OG0000000	LOC110190751|XP_020817032.1|DSER	LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC110186293|XP_020811066.1|DSER	LOC108085317|XP_017037360.1|DKIK
OG0000000	LOC110186292|XP_020811065.1|DSER	LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC110176723|XP_020798824.1|DSER	LOC108078011|XP_017027058.1|DKIK
OG0000000	LOC110178370|XP_020801166.1|DSER	LOC108074649|XP_017022253.1|DKIK
OG0000000	LOC110186869|XP_020811824.1|DSER	LOC108073657|XP_017020873.1|DKIK
OG0000000	LOC110186289|XP_020811062.1|DSER	LOC108073658|XP_017020874.1|DKIK
OG0000000	LOC110186287|XP_020811060.1|DSER	LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC110185901|XP_020810577.1|DSER	LOC108080896|XP_017031287.1|DKIK
OG0000000	LOC110180637|XP_020803993.1|DSER	LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC110190734|XP_020817015.1|DSER	LOC108078600|XP_017028009.1|DKIK
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC108078601|XP_017028010.1|DKIK
OG0000000	LOC110187956|XP_020813133.1|DSER	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK
OG0000000	LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER	LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK
OG0000000	LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER	LOC108074035|XP_017021392.1|DKIK
OG0000000	LOC110185933|XP_020810606.1|DSER	LOC108074412|XP_017021929.1|DKIK
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER	LOC108076145|XP_017024362.1|DKIK
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC110179248|XP_020802366.1|DSER	LOC108078189|XP_017027346.1|DKIK
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER	LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK
OG0000002	LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER	LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK
OG0000002	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER	LOC108076940|XP_017025477.1|DKIK
OG0000002	LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER	LOC108076949|XP_017025488.1|DKIK
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC108082669|XP_017033655.1|DKIK
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC110177709|XP_020800207.1|DSER	LOC108072408|XP_017018999.1|DKIK
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC110177811|XP_020800360.1|DSER	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC108070791|XP_017016879.1|DKIK
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC108073603|XP_017020784.1|DKIK
OG0000004	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER	LOC108083332|XP_017034568.1|DKIK
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC108073963|XP_017021295.1|DKIK
OG0000004	LOC110180669|XP_020804016.1|DSER, LOC110182130|XP_020805798.1|DSER, LOC110180696|XP_020804037.1|DSER, LOC110182417|XP_020806112.1|DSER, LOC110180695|XP_020804036.1|DSER, LOC110182139|XP_020805809.1|DSER, LOC110180676|XP_020804021.1|DSER, LOC110180666|XP_020804015.1|DSER, LOC110182416|XP_020806111.1|DSER, LOC110180677|XP_020804022.1|DSER, LOC110182131|XP_020805799.1|DSER, LOC110182138|XP_020805807.1|DSER, LOC110182428|XP_020806124.1|DSER	LOC108074133|XP_017021525.1|DKIK
OG0000005	LOC110182167|XP_020805828.1|DSER	LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC110182424|XP_020806119.1|DSER, LOC110180681|XP_020804024.1|DSER, LOC110180702|XP_020804041.1|DSER, LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER, LOC110182132|XP_020805800.1|DSER, LOC110180700|XP_020804040.1|DSER, LOC110182133|XP_020805802.1|DSER, LOC110183808|XP_020807819.1|DSER, LOC110182418|XP_020806113.1|DSER	LOC108072846|XP_017019650.1|DKIK
OG0000006	LOC110181334|XP_020804711.1|DSER	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC108071584|XP_017017854.1|DKIK
OG0000007	LOC110184729|XP_020809016.1|DSER	LOC108071623|XP_017017894.1|DKIK
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC110182844|XP_020806635.1|DSER	LOC108070862|XP_017016987.1|DKIK
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC110186309|XP_020811090.1|DSER	LOC108085665|XP_017037844.1|DKIK
OG0000009	LOC110188741|XP_020814234.1|DSER	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK
OG0000009	LOC110188740|XP_020814233.1|DSER	LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC110189524|XP_020815309.1|DSER	LOC108078551|XP_017027957.1|DKIK
