Orthogroup	DSER.longest_only	DYAK.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC6539518|XP_039230304.1|DYAK
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC6533890|XP_002094590.1|DYAK
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC110184848|XP_020809147.1|DSER	LOC6526775|XP_002087878.2|DYAK
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC6530458|XP_002091374.1|DYAK
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC6530459|XP_002091375.1|DYAK
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC6528128|XP_002089195.3|DYAK
OG0000004	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK
OG0000004	LOC110182445|XP_020806139.1|DSER	LOC6540440|XP_039228255.1|DYAK
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC120322197|XP_039233188.1|DYAK, LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC110182132|XP_020805800.1|DSER	LOC120321238|XP_039229334.1|DYAK
OG0000006	LOC110182133|XP_020805802.1|DSER	LOC120322198|XP_039233189.1|DYAK
OG0000006	LOC110181334|XP_020804711.1|DSER	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC110184693|XP_020808964.1|DSER	LOC6533138|XP_002093864.1|DYAK
OG0000007	LOC110184736|XP_020809022.1|DSER	LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC6533144|XP_002093870.1|DYAK
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC110182844|XP_020806635.1|DSER	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC110188741|XP_020814234.1|DSER	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC110188740|XP_020814233.1|DSER	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC110183810|XP_020807821.1|DSER	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC110180673|XP_020804019.1|DSER	LOC120322220|XP_039233210.1|DYAK
OG0000010	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER	LOC6525318|XP_002101154.2|DYAK
OG0000011	LOC110183280|XP_020807170.1|DSER	LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK
OG0000011	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER	LOC26535503|XP_015045173.2|DYAK
OG0000011	LOC110182278|XP_020805955.1|DSER	LOC6529533|XP_039228709.1|DYAK, LOC6529527|XP_039228713.1|DYAK, LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC110191403|XP_020817919.1|DSER	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC6536394|XP_002096976.1|DYAK
