Orthogroup	DSER.longest_only	DSAN.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC120447885|XP_039485430.1|DSAN
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC120447884|XP_039485429.1|DSAN
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC120448603|XP_039486639.1|DSAN
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC110184848|XP_020809147.1|DSER	LOC120448038|XP_039485719.1|DSAN
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC120446973|XP_039484178.1|DSAN
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC120446975|XP_039484180.1|DSAN
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC120458377|XP_039501931.1|DSAN
OG0000003	LOC110176203|XP_020798127.1|DSER	LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC120458775|XP_039502488.1|DSAN
OG0000004	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER	LOC120457677|XP_039501102.1|DSAN, LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN, LOC120457919|XP_039501359.1|DSAN, LOC120446198|XP_039482981.1|DSAN, LOC120457920|XP_039501360.1|DSAN, LOC120457916|XP_039501355.1|DSAN, LOC120457918|XP_039501357.1|DSAN, LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN
OG0000006	LOC110180700|XP_020804040.1|DSER	LOC120457935|XP_039501376.1|DSAN
OG0000006	LOC110183808|XP_020807819.1|DSER	LOC120457680|XP_039501103.1|DSAN
OG0000006	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC120457670|XP_039501096.1|DSAN
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC120449593|XP_039488092.1|DSAN
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC120449309|XP_039487635.1|DSAN
OG0000007	LOC110184693|XP_020808964.1|DSER	LOC120448495|XP_039486458.1|DSAN
OG0000007	LOC110184736|XP_020809022.1|DSER	LOC120448563|XP_039486553.1|DSAN
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC120458533|XP_039502144.1|DSAN
OG0000007	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC120458508|XP_039502112.1|DSAN
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC120448331|XP_039486219.1|DSAN
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC120450012|XP_039488670.1|DSAN
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC120449828|XP_039488411.1|DSAN
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC120449911|XP_039488536.1|DSAN
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC120451092|XP_039490416.1|DSAN
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC120449655|XP_039488186.1|DSAN
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC120449654|XP_039488185.1|DSAN
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC120458586|XP_039502222.1|DSAN
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC120449658|XP_039488188.1|DSAN
OG0000008	LOC110182844|XP_020806635.1|DSER	LOC120456894|XP_039499926.1|DSAN
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC120453056|XP_039493512.1|DSAN
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC120453871|XP_039494710.1|DSAN
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC120453053|XP_039493508.1|DSAN
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC120452274|XP_039492339.1|DSAN
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC120453887|XP_039494738.1|DSAN
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC120452846|XP_039493217.1|DSAN
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC120453968|XP_039494853.1|DSAN
OG0000009	LOC110188741|XP_020814234.1|DSER	LOC120454581|XP_039495924.1|DSAN
OG0000009	LOC110188740|XP_020814233.1|DSER	LOC120452847|XP_039493218.1|DSAN
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC120446532|XP_039483479.1|DSAN
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC120453301|XP_039493868.1|DSAN
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC120445192|XP_039481349.1|DSAN
OG0000009	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER	LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN
OG0000010	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER	LOC120446204|XP_039482989.1|DSAN
OG0000010	LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER	LOC120457684|XP_039501107.1|DSAN
OG0000010	LOC110180673|XP_020804019.1|DSER, LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER	LOC120457962|XP_039501399.1|DSAN
OG0000011	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER	LOC120456909|XP_039499973.1|DSAN
OG0000011	LOC110183280|XP_020807170.1|DSER	LOC120458054|XP_039501501.1|DSAN, LOC120458044|XP_039501490.1|DSAN
OG0000011	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER	LOC120449699|XP_039488248.1|DSAN
OG0000011	LOC110185813|XP_020810477.1|DSER	LOC120454523|XP_039495825.1|DSAN
OG0000011	LOC110182278|XP_020805955.1|DSER	LOC120444818|XP_039480708.1|DSAN, LOC120447070|XP_039484395.1|DSAN, LOC120445760|XP_039482290.1|DSAN, LOC120454945|XP_039496647.1|DSAN
OG0000011	LOC110191403|XP_020817919.1|DSER	LOC120449538|XP_039487994.1|DSAN
OG0000011	LOC110185215|XP_020809607.1|DSER	LOC120452178|XP_039492220.1|DSAN
OG0000012	LOC110178863|XP_020801799.1|DSER	LOC120445821|XP_039482372.1|DSAN
OG0000012	LOC110178859|XP_020801786.1|DSER	LOC120445820|XP_039482371.1|DSAN
OG0000012	LOC110190967|XP_020817320.1|DSER	LOC120446192|XP_039482973.1|DSAN
OG0000012	LOC110176037|XP_020797910.1|DSER	LOC120446256|XP_039483062.1|DSAN
OG0000012	LOC110176319|XP_020798300.1|DSER	LOC120444865|XP_039480765.1|DSAN
OG0000012	LOC110178311|XP_020801063.1|DSER	LOC120445730|XP_039482234.1|DSAN
OG0000012	LOC110178377|XP_020801172.1|DSER	LOC120446629|XP_039483624.1|DSAN
OG0000012	LOC110178312|XP_020801065.1|DSER	LOC120446410|XP_039483290.1|DSAN
OG0000012	LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER	LOC120445226|XP_039481417.1|DSAN
OG0000012	LOC110178292|XP_020801024.1|DSER	LOC120446006|XP_039482689.1|DSAN
OG0000012	LOC110178324|XP_020801093.1|DSER	LOC120446007|XP_039482691.1|DSAN
OG0000013	LOC110189766|XP_020815644.1|DSER	LOC120444466|XP_039480072.1|DSAN
OG0000013	LOC110179613|XP_020802873.1|DSER	LOC120456796|XP_039499752.1|DSAN
OG0000013	LOC110188689|XP_020814151.1|DSER	LOC120450753|XP_039489810.1|DSAN
OG0000013	LOC110188838|XP_020814394.1|DSER	LOC120447659|XP_039485107.1|DSAN
OG0000013	LOC110188074|XP_020813284.1|DSER	LOC120450808|XP_039489911.1|DSAN
OG0000013	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER	LOC120452623|XP_039492863.1|DSAN
OG0000013	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER	LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN
OG0000015	LOC110181407|XP_020804802.1|DSER	LOC120446987|XP_039484221.1|DSAN
OG0000015	LOC110187200|XP_020812259.1|DSER, LOC110182170|XP_020805830.1|DSER, LOC110187202|XP_020812260.1|DSER	LOC120458791|XP_039502509.1|DSAN, LOC120458608|XP_039502248.1|DSAN
OG0000015	LOC110179364|XP_020802537.1|DSER	LOC120445789|XP_039482329.1|DSAN
OG0000015	LOC110181374|XP_020804762.1|DSER	LOC120454309|XP_039495442.1|DSAN
OG0000016	LOC110185112|XP_020809466.1|DSER	LOC120451140|XP_039490495.1|DSAN
OG0000016	LOC110182974|XP_020806826.1|DSER	LOC120444605|XP_039480314.1|DSAN
OG0000016	LOC110186803|XP_020811744.1|DSER	LOC120454635|XP_039496058.1|DSAN
OG0000016	LOC110181494|XP_020804920.1|DSER	LOC120457379|XP_039500852.1|DSAN
OG0000016	LOC110189526|XP_020815315.1|DSER	LOC120444059|XP_039479503.1|DSAN
OG0000016	LOC110191952|XP_020818633.1|DSER	LOC120450954|XP_039490174.1|DSAN
OG0000016	LOC110179844|XP_020803110.1|DSER	LOC120450393|XP_039489322.1|DSAN
OG0000017	LOC110179704|XP_020802972.1|DSER	LOC120456210|XP_039498824.1|DSAN
OG0000017	LOC110182944|XP_020806786.1|DSER	LOC120458133|XP_039501613.1|DSAN
OG0000017	LOC110189651|XP_020815456.1|DSER	LOC120453270|XP_039493835.1|DSAN
OG0000017	LOC110186415|XP_020811251.1|DSER	LOC120452397|XP_039492549.1|DSAN
OG0000017	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER	LOC120452471|XP_039492644.1|DSAN, LOC120452472|XP_039492645.1|DSAN
