Orthogroup	DSER.longest_only	DGUA.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC110185197|XP_020809581.1|DSER, LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER, LOC110177976|XP_020800628.1|DSER	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC110179248|XP_020802366.1|DSER	LOC117578777|XP_034120374.1|DGUA
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC117584002|XP_034128622.1|DGUA
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC117592331|XP_034141917.1|DGUA
