Orthogroup	DSER.longest_only	DSIM.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM
OG0000000	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER	LOC6736799|XP_039149212.1|DSIM
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC110185901|XP_020810577.1|DSER	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC6729069|XP_016035716.1|DSIM
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC6738252|XP_002085064.1|DSIM
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC6738253|XP_039150090.1|DSIM
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC6737828|XP_002084656.1|DSIM
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC6731201|XP_002078360.1|DSIM
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC110177811|XP_020800360.1|DSER	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC6731100|XP_002078257.3|DSIM
