Orthogroup	DSER.longest_only	DVIR.longest_only
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC110187736|XP_020812852.1|DSER	LOC116650112|XP_032289334.1|DVIR
OG0000002	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC110177811|XP_020800360.1|DSER	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000005	LOC110182135|XP_020805804.1|DSER	LOC26530672|XP_032288850.1|DVIR
OG0000005	LOC110182160|XP_020805822.1|DSER	LOC6636998|XP_002060428.1|DVIR
OG0000005	LOC110180687|XP_020804031.1|DSER	LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC110185948|XP_020810624.1|DSER	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC110182132|XP_020805800.1|DSER	LOC6630106|XP_032288838.1|DVIR
OG0000006	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER	LOC6630084|XP_002053094.1|DVIR
OG0000006	LOC110182435|XP_020806129.1|DSER	LOC6630840|XP_032288832.1|DVIR
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC110182164|XP_020805826.1|DSER	LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC110183810|XP_020807821.1|DSER	LOC6636962|XP_002060409.1|DVIR
