Orthogroup	DSIM.longest_only	CCAP.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP
OG0000000	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM, LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM, LOC6734183|XP_002081212.2|DSIM	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP
OG0000000	LOC6738254|XP_039150029.1|DSIM, LOC6738257|XP_016032137.1|DSIM, LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM, LOC6736137|XP_002083037.1|DSIM, LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM, LOC6730724|XP_016023153.2|DSIM, LOC6730293|XP_039151545.1|DSIM, LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM, LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM, LOC6736799|XP_039149212.1|DSIM, LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM, LOC6732333|XP_039152942.1|DSIM, LOC6729069|XP_016035716.1|DSIM, LOC6732608|XP_002079727.1|DSIM	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM, LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM, LOC6737828|XP_002084656.1|DSIM	CCAP1982_LOCUS11001|CAD7002512.1|CCAP
OG0000001	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP
OG0000001	LOC120284706|XP_039149044.1|DSIM	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP, CCAP1982_LOCUS19569|CAD7011469.1|CCAP
OG0000002	LOC6738777|XP_016032596.1|DSIM	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC6731201|XP_002078360.1|DSIM	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP
OG0000003	LOC6729847|XP_016036585.1|DSIM, LOC6734561|XP_002081570.1|DSIM, LOC6733269|XP_002080332.1|DSIM	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP
OG0000003	LOC6734554|XP_039147555.1|DSIM	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP
OG0000003	LOC6733555|XP_039148197.1|DSIM	CCAP1982_LOCUS20941|CAD7012841.1|CCAP
OG0000003	LOC6731100|XP_002078257.3|DSIM	CCAP1982_LOCUS7775|CAD6999243.1|CCAP
OG0000004	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP
OG0000006	LOC120285545|XP_039154135.1|DSIM	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC120285799|XP_039154349.1|DSIM, LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000007	LOC6738477|XP_016032322.1|DSIM	CCAP1982_LOCUS12646|CAD7004227.1|CCAP
OG0000007	LOC6736955|XP_002083802.1|DSIM	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP
OG0000007	LOC6731020|XP_002078181.1|DSIM, LOC6733581|XP_002080635.1|DSIM, LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM, LOC6731021|XP_002078182.1|DSIM, LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM, LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP
OG0000008	LOC6727443|XP_016034017.1|DSIM	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC6736741|XP_002083597.1|DSIM	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC6736744|XP_016030372.1|DSIM	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC6736742|XP_002083598.1|DSIM	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000008	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP
OG0000008	LOC6726998|XP_016033494.2|DSIM	CCAP1982_LOCUS3596|CAD6994861.1|CCAP
OG0000008	LOC6726996|XP_002102397.1|DSIM	CCAP1982_LOCUS3598|CAD6994863.1|CCAP
OG0000008	LOC6726997|XP_002102398.2|DSIM	CCAP1982_LOCUS3597|CAD6994862.1|CCAP
OG0000008	LOC6726995|XP_002102396.1|DSIM	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP
OG0000009	LOC6727419|XP_002102801.1|DSIM	CCAP1982_LOCUS973|CAD6992095.1|CCAP
OG0000009	LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC120285280|XP_039152696.1|DSIM	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC120285282|XP_039152699.1|DSIM	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000012	LOC6735247|XP_016028572.1|DSIM	CCAP1982_LOCUS22583|CAD7014589.1|CCAP
OG0000012	LOC6735246|XP_016028570.1|DSIM	CCAP1982_LOCUS22582|CAD7014587.1|CCAP
OG0000012	LOC6735245|XP_016028569.1|DSIM	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC6735248|XP_016028574.1|DSIM	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC6734455|XP_002081474.1|DSIM	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC6728006|XP_016034604.1|DSIM	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC6737992|XP_016031791.1|DSIM	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC6728269|XP_002103618.2|DSIM	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC6729335|XP_016035977.1|DSIM	CCAP1982_LOCUS2756|CAD6993971.1|CCAP
OG0000013	LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC120285345|XP_039153408.1|DSIM, LOC120285375|XP_039153883.1|DSIM	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC120284347|XP_039147384.1|DSIM	CCAP1982_LOCUS11701|CAD7003239.1|CCAP
OG0000016	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC6728317|XP_002103666.1|DSIM	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC6734815|XP_016028043.1|DSIM	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC6727955|XP_016034553.1|DSIM	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC6739089|XP_016032930.1|DSIM	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC6733445|XP_002080502.2|DSIM, LOC6733173|XP_002080249.1|DSIM	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC6736980|XP_002083827.1|DSIM	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC6736983|XP_002083830.1|DSIM	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC6736982|XP_002083829.1|DSIM	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000019	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000020	LOC6730019|XP_002105313.2|DSIM	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC6727407|XP_016033953.2|DSIM	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000021	LOC6728358|XP_016034980.1|DSIM	CCAP1982_LOCUS162|CAD6991224.1|CCAP
OG0000022	LOC27206614|XP_039147853.1|DSIM	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
