Orthogroup	DSIM.longest_only	DELE.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC108150093|XP_017133546.1|DELE
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC6734181|XP_016027194.1|DSIM	LOC108143366|XP_017123177.1|DELE
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC6738255|XP_016032135.1|DSIM	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM	LOC108134556|XP_017110398.1|DELE
OG0000000	LOC6730295|XP_016037057.1|DSIM	LOC108136678|XP_017113490.1|DELE
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC6731633|XP_002078773.1|DSIM	LOC108141650|XP_017120608.1|DELE
OG0000000	LOC6729478|XP_002104788.3|DSIM	LOC108142885|XP_017122450.1|DELE
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC6735227|XP_002082200.1|DSIM	LOC108143648|XP_017123649.1|DELE
