Orthogroup	DSIM.longest_only	DSER.longest_only
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC6736799|XP_039149212.1|DSIM	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC6730282|XP_002105565.2|DSIM	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6726722|XP_002102133.3|DSIM	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC6738252|XP_002085064.1|DSIM	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC6738253|XP_039150090.1|DSIM	LOC110190479|XP_020816650.1|DSER
OG0000000	LOC6737828|XP_002084656.1|DSIM	LOC110185197|XP_020809581.1|DSER
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC6738777|XP_016032596.1|DSIM	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC6734558|XP_002081567.1|DSIM	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC6734560|XP_016027665.1|DSIM	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC6734561|XP_002081570.1|DSIM	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER
OG0000006	LOC120285264|XP_039152640.1|DSIM	LOC110182424|XP_020806119.1|DSER
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC120285801|XP_039154351.1|DSIM	LOC110182132|XP_020805800.1|DSER
OG0000006	LOC27208095|XP_016025859.1|DSIM	LOC110181334|XP_020804711.1|DSER
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC6736956|XP_002083803.1|DSIM	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC6736951|XP_016030595.1|DSIM	LOC110184729|XP_020809016.1|DSER
OG0000007	LOC6736948|XP_039149135.1|DSIM	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM	LOC110184736|XP_020809022.1|DSER
OG0000007	LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM	LOC110184730|XP_020809017.1|DSER
OG0000007	LOC6731020|XP_002078181.1|DSIM	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC27206286|XP_016030986.1|DSIM	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC6731019|XP_002078180.2|DSIM	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC6736957|XP_016030597.1|DSIM	LOC110184731|XP_020809018.1|DSER
OG0000007	LOC27207276|XP_016030598.2|DSIM	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC6736744|XP_016030372.1|DSIM	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC6736742|XP_002083598.1|DSIM	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC6725212|XP_002106235.2|DSIM	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC6726998|XP_016033494.2|DSIM	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC6727423|XP_016033975.1|DSIM	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC6727420|XP_002102802.1|DSIM	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC6728414|XP_016035007.1|DSIM	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER
OG0000010	LOC120285280|XP_039152696.1|DSIM	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC120285282|XP_039152699.1|DSIM	LOC110183810|XP_020807821.1|DSER
OG0000010	LOC6728075|XP_016034694.1|DSIM	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
OG0000011	LOC27207823|XP_016023441.1|DSIM	LOC110183280|XP_020807170.1|DSER
OG0000011	LOC27206207|XP_039149631.1|DSIM, LOC27208543|XP_016037023.1|DSIM	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER
OG0000011	LOC27207879|XP_016023440.1|DSIM	LOC110185813|XP_020810477.1|DSER
OG0000011	LOC27208182|XP_016025194.2|DSIM, LOC6732545|XP_016025201.1|DSIM, LOC6725826|XP_016039150.1|DSIM, LOC27206349|XP_016039152.1|DSIM	LOC110182278|XP_020805955.1|DSER
