Orthogroup	DSIM.longest_only	DNOV.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC120285806|XP_039154356.1|DSIM, LOC120285548|XP_039154138.1|DSIM, LOC120285275|XP_039152669.1|DSIM, LOC120285808|XP_039154358.1|DSIM, LOC120285276|XP_039152679.1|DSIM, LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM, LOC120285271|XP_039152664.1|DSIM, LOC120285267|XP_039152656.1|DSIM, LOC120285804|XP_039154354.1|DSIM, LOC6740385|XP_002077244.1|DSIM, LOC120285805|XP_039154355.1|DSIM, LOC120285550|XP_039154140.1|DSIM, LOC120285279|XP_039152693.1|DSIM, LOC120285268|XP_039152661.1|DSIM, LOC120285547|XP_039154137.1|DSIM, LOC120285807|XP_039154357.1|DSIM	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC120285542|XP_039154132.1|DSIM	LOC115761951|XP_030559850.1|DNOV
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC6740317|XP_002077189.3|DSIM	LOC115770605|XP_030571802.1|DNOV
OG0000006	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM	LOC115770611|XP_030571807.1|DNOV
OG0000006	LOC120285266|XP_039152652.1|DSIM	LOC115770813|XP_030572094.1|DNOV
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC6736744|XP_016030372.1|DSIM	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC6736742|XP_002083598.1|DSIM	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC6726999|XP_039151364.1|DSIM, LOC120285030|XP_039151250.1|DSIM	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC6726998|XP_016033494.2|DSIM	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM	LOC115765543|XP_030565028.1|DNOV
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC115760928|XP_030558363.1|DNOV
