Orthogroup	DSIM.longest_only	DALB.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM, LOC6730724|XP_016023153.2|DSIM, LOC6730293|XP_039151545.1|DSIM, LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM, LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM, LOC6736799|XP_039149212.1|DSIM, LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM, LOC6732333|XP_039152942.1|DSIM, LOC6729069|XP_016035716.1|DSIM, LOC6732608|XP_002079727.1|DSIM	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC6726722|XP_002102133.3|DSIM	LOC117566658|XP_034102093.1|DALB
OG0000000	LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM	LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB
OG0000000	LOC6737828|XP_002084656.1|DSIM	LOC117570317|XP_034107750.1|DALB
OG0000001	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	LOC117573170|XP_034112033.1|DALB
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC117570812|XP_034108562.1|DALB, LOC117566485|XP_034101909.1|DALB, LOC117569899|XP_034107131.1|DALB
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC117571538|XP_034109620.1|DALB
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC117571537|XP_034109617.1|DALB
OG0000002	LOC6738777|XP_016032596.1|DSIM	LOC117565641|XP_034100743.1|DALB
