Orthogroup	DSIM.longest_only	DSEC.longest_only
OG0000000	LOC6737447|XP_016031216.1|DSIM	LOC6605054|XP_032575159.1|DSEC
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC6612593|XP_002037098.2|DSEC
OG0000000	LOC6734181|XP_016027194.1|DSIM	LOC116800509|XP_032571804.1|DSEC
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC6611330|XP_002035877.1|DSEC
OG0000000	LOC6728685|XP_002104021.1|DSIM	LOC6606995|XP_002031784.1|DSEC
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC6608865|XP_002033579.1|DSEC
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC6605884|XP_032575999.1|DSEC
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC6605885|XP_032575997.1|DSEC
OG0000000	LOC6738255|XP_016032135.1|DSIM	LOC116800964|XP_032573791.1|DSEC
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC116801306|XP_032575998.1|DSEC
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC6618886|XP_002043134.2|DSEC
OG0000000	LOC6728763|XP_002104098.1|DSIM	LOC6607083|XP_032579519.1|DSEC
OG0000000	LOC6730295|XP_016037057.1|DSIM	LOC6612938|XP_032579196.1|DSEC
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC6613111|XP_032569894.1|DSEC
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC6612936|XP_002037428.1|DSEC
OG0000000	LOC6731633|XP_002078773.1|DSIM	LOC6611813|XP_002036335.1|DSEC
OG0000000	LOC6729478|XP_002104788.3|DSIM	LOC6607813|XP_032578052.1|DSEC
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC6608931|XP_002033645.2|DSEC
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC6609340|XP_032572102.1|DSEC
OG0000000	LOC27209298|XP_016030381.1|DSIM	LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC
OG0000000	LOC6738897|XP_002085692.1|DSIM	LOC6616347|XP_002040707.1|DSEC
OG0000000	LOC6734178|XP_002081207.1|DSIM	LOC116800542|XP_032571951.1|DSEC
OG0000000	LOC6730566|XP_002077745.1|DSIM	LOC116803586|XP_032583371.1|DSEC
OG0000000	LOC6736799|XP_039149212.1|DSIM	LOC116801073|XP_032574487.1|DSEC
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC6612926|XP_032578042.1|DSEC
OG0000000	LOC6730282|XP_002105565.2|DSIM	LOC6612925|XP_002037417.1|DSEC
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC6611281|XP_032582965.1|DSEC
