Orthogroup	DSIM.longest_only	DMIR.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC6734181|XP_016027194.1|DSIM	LOC117187734|XP_033246410.1|DMIR
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR, LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC108154033|XP_017139614.1|DMIR
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC108154065|XP_033245991.1|DMIR, LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC108154608|XP_017140414.2|DMIR
OG0000001	LOC120285442|XP_039154112.1|DSIM, LOC120285440|XP_039154108.1|DSIM	LOC117188126|XP_033247368.1|DMIR, LOC117186570|XP_033243418.1|DMIR, LOC117189960|XP_033250935.1|DMIR, LOC117186559|XP_033243395.1|DMIR, LOC117189228|XP_033250247.1|DMIR, LOC117186732|XP_033243774.1|DMIR, LOC117186566|XP_033243405.1|DMIR, LOC117188268|XP_033247713.1|DMIR, LOC117193495|XP_033254138.1|DMIR, LOC117186602|XP_033243477.1|DMIR
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6738777|XP_016032596.1|DSIM	LOC108152350|XP_017137109.1|DMIR
