Orthogroup	DSIM.longest_only	DBIA.longest_only
OG0000000	LOC6737447|XP_016031216.1|DSIM	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC108024306|XP_016949697.1|DBIA
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC6728686|XP_016035358.1|DSIM	LOC108031338|XP_016960091.1|DBIA
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC6738255|XP_016032135.1|DSIM	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6731633|XP_002078773.1|DSIM	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC6729478|XP_002104788.3|DSIM	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC6730282|XP_002105565.2|DSIM	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC108033274|XP_016963030.1|DBIA
