Orthogroup	DSIM.longest_only	DKIK.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM	LOC108080866|XP_017031258.1|DKIK
OG0000000	LOC6730724|XP_016023153.2|DSIM	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC6736799|XP_039149212.1|DSIM	LOC108078011|XP_017027058.1|DKIK, LOC108074649|XP_017022253.1|DKIK
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC6732333|XP_039152942.1|DSIM	LOC108080896|XP_017031287.1|DKIK
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC6726722|XP_002102133.3|DSIM	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC6738252|XP_002085064.1|DSIM	LOC108078601|XP_017028010.1|DKIK
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC6735327|XP_016028674.2|DSIM	LOC108082094|XP_017032879.1|DKIK
