Orthogroup	DSIM.longest_only	DSAN.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC120454272|XP_039495370.1|DSAN
OG0000000	LOC6734181|XP_016027194.1|DSIM	LOC120444734|XP_039480595.1|DSAN
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC6728685|XP_002104021.1|DSIM	LOC120454013|XP_039494937.1|DSAN
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC6738255|XP_016032135.1|DSIM	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC6728763|XP_002104098.1|DSIM	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC6730295|XP_016037057.1|DSIM	LOC120453829|XP_039494657.1|DSAN
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC6731633|XP_002078773.1|DSIM	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC6729478|XP_002104788.3|DSIM	LOC120454315|XP_039495452.1|DSAN
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC120446300|XP_039483141.1|DSAN
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC27209298|XP_016030381.1|DSIM	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN
OG0000000	LOC6734178|XP_002081207.1|DSIM	LOC120458417|XP_039501988.1|DSAN
OG0000000	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC6736799|XP_039149212.1|DSIM	LOC120447669|XP_039485129.1|DSAN
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC6730282|XP_002105565.2|DSIM	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC120453013|XP_039493463.1|DSAN
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC6735228|XP_002082201.1|DSIM	LOC120446643|XP_039483646.1|DSAN
OG0000000	LOC6736069|XP_002082970.1|DSIM	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN
OG0000000	LOC6736068|XP_002082969.1|DSIM	LOC120444942|XP_039480879.1|DSAN
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC6726722|XP_002102133.3|DSIM	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC6738252|XP_002085064.1|DSIM	LOC120447885|XP_039485430.1|DSAN
OG0000000	LOC6738253|XP_039150090.1|DSIM	LOC120447884|XP_039485429.1|DSAN
OG0000000	LOC6737828|XP_002084656.1|DSIM	LOC120448603|XP_039486639.1|DSAN
OG0000001	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN
OG0000001	LOC120285672|XP_039154228.1|DSIM, LOC120284833|XP_039150170.1|DSIM, LOC120284434|XP_039148214.1|DSIM	LOC120450630|XP_039489712.1|DSAN, LOC120453894|XP_039494745.1|DSAN, LOC120448972|XP_039487206.1|DSAN, LOC120452701|XP_039492991.1|DSAN
OG0000001	LOC120284706|XP_039149044.1|DSIM	LOC120449510|XP_039487947.1|DSAN
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC6738777|XP_016032596.1|DSIM	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC120443706|XP_039478879.1|DSAN
OG0000003	LOC6734558|XP_002081567.1|DSIM	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC6734560|XP_016027665.1|DSIM	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC6729847|XP_016036585.1|DSIM	LOC120452715|XP_039493011.1|DSAN
OG0000003	LOC6734561|XP_002081570.1|DSIM	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC120458377|XP_039501931.1|DSAN
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC120458775|XP_039502488.1|DSAN
