Orthogroup	DSIM.longest_only	DMAU.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM	LOC117142025|XP_033161779.1|DMAU
OG0000000	LOC6737447|XP_016031216.1|DSIM	LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC27208741|XP_016036703.2|DSIM	LOC117145695|XP_033167327.1|DMAU
OG0000000	LOC6734181|XP_016027194.1|DSIM	LOC117138434|XP_033156436.1|DMAU
OG0000000	LOC6732391|XP_002079512.1|DSIM	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC6728685|XP_002104021.1|DSIM	LOC117145817|XP_033167509.1|DMAU
OG0000000	LOC6728686|XP_016035358.1|DSIM	LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC6738254|XP_039150029.1|DSIM	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC6738257|XP_016032137.1|DSIM	LOC117139149|XP_033157198.1|DMAU
OG0000000	LOC6738256|XP_002085068.1|DSIM	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC6728763|XP_002104098.1|DSIM	LOC117144786|XP_033166045.1|DMAU
OG0000000	LOC6730295|XP_016037057.1|DSIM	LOC117142325|XP_033162128.1|DMAU
OG0000000	LOC6730293|XP_039151545.1|DSIM	LOC117142327|XP_033162129.1|DMAU
OG0000000	LOC6731633|XP_002078773.1|DSIM	LOC117136304|XP_033153082.1|DMAU
OG0000000	LOC6729478|XP_002104788.3|DSIM	LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC6734251|XP_039147854.1|DSIM	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC6734670|XP_039148016.1|DSIM	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC27209298|XP_016030381.1|DSIM	LOC117140233|XP_033158923.1|DMAU
OG0000000	LOC6738897|XP_002085692.1|DSIM	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU
OG0000000	LOC6734178|XP_002081207.1|DSIM	LOC117136161|XP_033152774.1|DMAU
OG0000000	LOC6730565|XP_016023011.1|DSIM	LOC117150663|XP_033173544.1|DMAU
OG0000000	LOC6736799|XP_039149212.1|DSIM	LOC117139179|XP_033157239.1|DMAU
OG0000000	LOC6730283|XP_016037045.1|DSIM	LOC117145744|XP_033167397.1|DMAU
OG0000000	LOC6730282|XP_002105565.2|DSIM	LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC6729069|XP_016035716.1|DSIM	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC6732608|XP_002079727.1|DSIM	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC6735227|XP_002082200.1|DSIM	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU
OG0000000	LOC6735228|XP_002082201.1|DSIM	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC6736069|XP_002082970.1|DSIM	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC6729989|XP_002105283.1|DSIM	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC6726722|XP_002102133.3|DSIM	LOC117145160|XP_033166598.1|DMAU
OG0000000	LOC6738252|XP_002085064.1|DSIM	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC6738253|XP_039150090.1|DSIM	LOC117140538|XP_033159418.1|DMAU
OG0000001	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM	LOC117140024|XP_033158645.1|DMAU
OG0000001	LOC120285672|XP_039154228.1|DSIM, LOC120284833|XP_039150170.1|DSIM, LOC120284434|XP_039148214.1|DSIM	LOC117139899|XP_033158470.1|DMAU
OG0000001	LOC120285442|XP_039154112.1|DSIM, LOC120285440|XP_039154108.1|DSIM	LOC117141920|XP_033161540.1|DMAU
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6735327|XP_016028674.2|DSIM	LOC117136987|XP_033154052.1|DMAU
OG0000002	LOC6738777|XP_016032596.1|DSIM	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC6734558|XP_002081567.1|DSIM	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC6734560|XP_016027665.1|DSIM	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6729847|XP_016036585.1|DSIM	LOC117145313|XP_033166799.1|DMAU
OG0000003	LOC6734561|XP_002081570.1|DSIM	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC6733269|XP_002080332.1|DSIM	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC6734555|XP_002081564.3|DSIM	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC6734559|XP_002081568.1|DSIM	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC6734554|XP_039147555.1|DSIM	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6738477|XP_016032322.1|DSIM	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC6736956|XP_002083803.1|DSIM	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC6736951|XP_016030595.1|DSIM	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC6736948|XP_039149135.1|DSIM	LOC117139205|XP_033157267.1|DMAU
OG0000007	LOC6736952|XP_002083799.1|DSIM	LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC6731020|XP_002078181.1|DSIM	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC6733581|XP_002080635.1|DSIM	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM	LOC117143375|XP_033163942.1|DMAU
OG0000007	LOC6730231|XP_002105514.2|DSIM	LOC117144956|XP_033166302.1|DMAU
OG0000007	LOC120284928|XP_039150400.1|DSIM	LOC117143365|XP_033163930.1|DMAU
OG0000007	LOC6730135|XP_039150399.1|DSIM	LOC117143364|XP_033163929.1|DMAU
OG0000007	LOC6731021|XP_002078182.1|DSIM	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC27206286|XP_016030986.1|DSIM	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC6731019|XP_002078180.2|DSIM	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC6736957|XP_016030597.1|DSIM	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC27207276|XP_016030598.2|DSIM	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC6727443|XP_016034017.1|DSIM	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6736741|XP_002083597.1|DSIM	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6736744|XP_016030372.1|DSIM	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6732025|XP_039148682.1|DSIM	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC6736742|XP_002083598.1|DSIM	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC6725212|XP_002106235.2|DSIM	LOC117147420|XP_033170189.1|DMAU
OG0000008	LOC6726999|XP_039151364.1|DSIM	LOC117145079|XP_033166487.1|DMAU
OG0000008	LOC6726998|XP_016033494.2|DSIM	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC6726996|XP_002102397.1|DSIM	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC6726997|XP_002102398.2|DSIM	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC6726995|XP_002102396.1|DSIM	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6727419|XP_002102801.1|DSIM	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC6727422|XP_002102804.2|DSIM	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6727423|XP_016033975.1|DSIM	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC6727420|XP_002102802.1|DSIM	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6736925|XP_002083772.1|DSIM	LOC117141397|XP_033160707.1|DMAU
OG0000009	LOC6736926|XP_002083773.1|DSIM	LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC6736062|XP_002082963.1|DSIM	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC6728414|XP_016035007.1|DSIM	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC6734157|XP_002081186.1|DSIM	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6734155|XP_002081184.1|DSIM	LOC117138502|XP_033156525.1|DMAU
OG0000009	LOC6734156|XP_002081185.1|DSIM	LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC6740547|XP_039154362.1|DSIM, LOC120285551|XP_039154142.1|DSIM, LOC120285283|XP_039152704.1|DSIM, LOC120285812|XP_039154361.1|DSIM, LOC120285811|XP_039154360.1|DSIM, LOC120285555|XP_039154146.1|DSIM, LOC120285552|XP_039154143.1|DSIM, LOC120285280|XP_039152696.1|DSIM, LOC120285285|XP_039152706.1|DSIM, LOC120285556|XP_039154147.1|DSIM, LOC120285554|XP_039154145.1|DSIM, LOC120285286|XP_039152711.1|DSIM, LOC120285281|XP_039152698.1|DSIM, LOC120285287|XP_039152722.1|DSIM, LOC120285553|XP_039154144.1|DSIM, LOC120285282|XP_039152699.1|DSIM	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC6730832|XP_016023246.1|DSIM	LOC117148149|XP_033171274.1|DMAU
OG0000011	LOC6730831|XP_002077997.2|DSIM	LOC117148158|XP_033171286.1|DMAU
OG0000011	LOC27207823|XP_016023441.1|DSIM	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC27206207|XP_039149631.1|DSIM	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC27207879|XP_016023440.1|DSIM	LOC117142406|XP_033162250.1|DMAU
OG0000011	LOC27208182|XP_016025194.2|DSIM	LOC117150358|XP_033173108.1|DMAU
OG0000011	LOC6732545|XP_016025201.1|DSIM	LOC117135201|XP_033151176.1|DMAU
OG0000011	LOC6725826|XP_016039150.1|DSIM	LOC117148130|XP_033171246.1|DMAU
OG0000011	LOC27206349|XP_016039152.1|DSIM	LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC6737998|XP_002084813.2|DSIM	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC27206230|XP_016031794.1|DSIM	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC6728756|XP_002104091.1|DSIM	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC6735247|XP_016028572.1|DSIM	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC6735246|XP_016028570.1|DSIM	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC6735245|XP_016028569.1|DSIM	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC6735248|XP_016028574.1|DSIM	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC6735250|XP_002082223.1|DSIM	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC6735249|XP_016028575.1|DSIM	LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC6734131|XP_002081160.1|DSIM	LOC117136387|XP_033153170.1|DMAU
OG0000012	LOC6734132|XP_016027145.1|DSIM	LOC117136474|XP_033153296.1|DMAU
OG0000012	LOC6734133|XP_002081162.3|DSIM	LOC117136403|XP_033153190.1|DMAU
OG0000012	LOC6734134|XP_016027146.1|DSIM	LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC6734135|XP_002081164.1|DSIM	LOC117137795|XP_033155358.1|DMAU
OG0000012	LOC6734136|XP_016027147.1|DSIM	LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC6734455|XP_002081474.1|DSIM	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC6725717|XP_016038992.1|DSIM	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC6728006|XP_016034604.1|DSIM	LOC117142434|XP_033162286.1|DMAU
