Orthogroup	DVIR.longest_only	DMIR.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC108150869|XP_017134661.1|DMIR
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR, LOC117187734|XP_033246410.1|DMIR, LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR, LOC108154608|XP_017140414.2|DMIR
OG0000001	LOC116650073|XP_032289315.1|DVIR, LOC116649967|XP_032289174.1|DVIR	LOC117189970|XP_033250943.1|DMIR, LOC117191669|XP_033252365.1|DMIR, LOC117193543|XP_033254178.1|DMIR, LOC117188214|XP_033247602.1|DMIR, LOC117191840|XP_033252499.1|DMIR, LOC117190823|XP_033251752.1|DMIR, LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR, LOC117192640|XP_033253257.1|DMIR, LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR, LOC108161272|XP_033251779.1|DMIR, LOC117186601|XP_033243475.1|DMIR, LOC117194863|XP_033255220.1|DMIR, LOC117186014|XP_033241938.1|DMIR, LOC117193996|XP_033254525.1|DMIR, LOC117186338|XP_033242907.1|DMIR, LOC117186488|XP_033243258.1|DMIR, LOC117190057|XP_033251030.1|DMIR, LOC117190588|XP_033251528.1|DMIR
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR, LOC116650307|XP_032289663.1|DVIR	LOC117190783|XP_033251735.1|DMIR
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC108161412|XP_017151153.2|DMIR
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC108161232|XP_017150945.1|DMIR
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR
